group,candidate,mean_score,mean_nmae,mean_ficr,worst_fold,std_score,n_folds,min_output_ratio,weight_policy,random_state,n_jobs,verbose,objective,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,min_split_gain,subsample_freq
kpx_group_1,random_19,0.6252015553124904,0.12513290771404376,0.37553601833902467,0.6088549890050571,0.011558862398330282,3,0.1,actual_sqrt,20260731,8,-1,regression_l1,1157,0.02593756911537883,47,4,240,0.6576641616169268,0.7247124171746837,0.0085428239822019,4.404542330807746,0.0005276719733639102,1
kpx_group_2,random_11,0.653746494102602,0.12261331090862924,0.43010629911383336,0.6450490266603917,0.009109701812041838,3,0.1,actual_sqrt,20270723,8,-1,regression_l1,1215,0.010339298250097278,31,5,500,0.6749995707195565,0.8332386458889395,0.16840360437667254,0.16910621513454255,3.4587754106199665e-05,1
kpx_group_3,random_23,0.5841942418217863,0.14161844160889853,0.3100069252524711,0.5788942422384826,0.005299999583303683,2,0.1,none,20280735,8,-1,regression_l1,1150,0.01364070212516212,24,3,160,0.9307364083333429,0.8854779685898095,0.07216213389202814,0.10665147925930364,0.002487185558575938,1
