turbine_id,source,feature,grid_id,distance_km,distance_rank,is_nearest_grid,n_overlap_speed,l3_root_ms,mae_ms,rmse_ms,bias_nwp_minus_scada_ms,correlation,scada_mean_ms,nwp_mean_ms,scada_p90_ms,nwp_p90_ms,strong_wind_count,strong_wind_l3_root_ms,overall_rank,source_rank,n_overlap_direction,circular_mae_deg,circular_p90_abs_error_deg,mean_cosine_agreement,estimated_scada_offset_deg,offset_corrected_circular_mae_deg,offset_corrected_mean_cosine_agreement,raw_direction_rank,offset_corrected_direction_rank
vestas_wtg01,ldaps,10m,1,2.4096546339691245,8,False,26303,3.811165164761293,2.546964786495212,3.245906837200048,-2.0922945433150617,0.7402864676889387,7.04791507305884,4.955620529743778,12.1631,8.340320958286688,5750,5.568856421945605,33.0,33.0,26303,31.71868114405973,74.32722616778177,0.7536825729582047,5.304517148341944,31.69175151875588,0.7569241668009001,38.0,41.0
vestas_wtg01,ldaps,50m_midpoint,1,2.4096546339691245,8,False,26303,3.36579064028235,2.138717218798062,2.759857543825459,0.1150011369171219,0.7375064971915387,7.04791507305884,7.162916209975961,12.1631,12.591367627821413,5750,3.76163837490319,9.0,9.0,26303,30.63828188809269,71.67521927377457,0.7633353285708794,4.313958034277382,30.716810404799773,0.7655041256992244,18.0,25.0
vestas_wtg01,ldaps,50m_component_extreme_proxy,1,2.4096546339691245,8,False,26303,3.6982805148180677,2.303040366243454,3.00010297426493,0.7821703998256991,0.7171526517674102,7.04791507305884,7.83008547288454,12.1631,13.41292154288466,5750,3.9448109910508378,28.0,28.0,26303,31.015865207247227,72.63856905892544,0.7596880685369869,5.049807077853103,30.971227489359233,0.7626482438961645,26.0,32.0
vestas_wtg01,ldaps,5m_boundary_layer,1,2.4096546339691245,8,False,26303,8.427260090468742,6.815445293463509,7.680447193024066,-6.812400908105322,0.4669394146202714,7.04791507305884,0.23551416495351785,12.1631,0.5361303575109491,5750,12.345505470231368,94.0,49.0,26303,66.16620818391608,122.97141350110223,0.34583668463617984,52.31771259021078,47.24341843510475,0.5657559895842057,127.0,86.0
vestas_wtg01,ldaps,10m,2,2.4913719780586923,10,False,26303,3.6655853686845727,2.5293835215194074,3.1550513705518353,-2.1808244788789213,0.7900624112644236,7.04791507305884,4.867090594179919,12.1631,8.426526849666745,5750,5.242959772945389,25.0,25.0,26303,31.674185995615883,73.14278896629283,0.7518210435794711,1.226476597804542,31.763837448133927,0.7519933258845868,37.0,44.0
vestas_wtg01,ldaps,50m_midpoint,2,2.4913719780586923,10,False,26303,3.2178591156290213,1.9494993694104368,2.578101037297009,0.256645054982365,0.7892623825290503,7.04791507305884,7.304560128041206,12.1631,13.079106589414646,5750,3.3460479745785254,1.0,1.0,26303,30.528009675275275,70.39898576165704,0.7629354761809972,1.7308316986260388,30.67038259951368,0.7632837231893683,17.0,24.0
vestas_wtg01,ldaps,50m_component_extreme_proxy,2,2.4913719780586923,10,False,26303,3.5680839138913174,2.120712284615152,2.8377570113285095,0.934622180169896,0.7731816679500891,7.04791507305884,7.9825372532287355,12.1631,13.838608965927069,5750,3.641984334068346,18.0,18.0,26303,30.8083352432211,71.51606197418216,0.7594937791952401,2.451380977359105,30.931940070893663,0.7601894470711587,20.0,30.0
vestas_wtg01,ldaps,5m_boundary_layer,2,2.4913719780586923,10,False,26303,8.44720236199335,6.833734776270466,7.6998413221673285,-6.831007456580611,0.4728126074310271,7.04791507305884,0.21690761647822893,12.1631,0.5052024476801268,5750,12.371836313721424,96.0,51.0,26303,65.8150384921322,123.84035882859432,0.3483526841427137,47.245149903540366,51.516978290269414,0.5131414344320406,126.0,102.0
vestas_wtg01,ldaps,10m,3,3.3626743244851878,14,False,26303,3.7491394935636553,2.6376808185850775,3.253217079460497,-2.3413605310180405,0.7918290628018905,7.04791507305884,4.7065545420407995,12.1631,8.538525992006013,5750,5.244627497838129,31.0,31.0,26303,33.51121257142363,77.4514530523477,0.7380491569120701,-3.8796432330183945,32.6743368985184,0.7397443690190783,56.0,55.0
vestas_wtg01,ldaps,50m_midpoint,3,3.3626743244851878,14,False,26303,3.255903321282237,1.9862209207731591,2.615807354149388,0.16358375926978788,0.7971783427743263,7.04791507305884,7.211498832328627,12.1631,13.40893991513975,5750,3.402228348840598,2.0,2.0,26303,31.396720400137667,71.9312996244255,0.7578205648454434,-1.486082461864813,31.105210431326434,0.7580755404877071,31.0,34.0
