turbine_id,group,manufacturer,model,unit,hub_height_m,rotor_diameter_m,capacity_mw,turbine_latitude,turbine_longitude,best_speed_source,best_speed_feature,best_speed_grid_id,best_speed_distance_km,best_speed_distance_rank,best_speed_is_nearest_grid,best_speed_n_overlap,best_speed_l3_root_ms,best_speed_mae_ms,best_speed_bias_nwp_minus_scada_ms,best_speed_correlation,best_speed_strong_wind_l3_root_ms,best_nearest_source,best_nearest_feature,best_nearest_grid_id,best_nearest_l3_root_ms,best_direction_source,best_direction_feature,best_direction_grid_id,best_direction_circular_mae_deg,best_direction_estimated_scada_offset_deg,best_direction_offset_corrected_circular_mae_deg,best_ldaps_source,best_ldaps_feature,best_ldaps_grid_id,best_ldaps_distance_km,best_ldaps_distance_rank,best_ldaps_is_nearest_grid,best_ldaps_n_overlap,best_ldaps_l3_root_ms,best_ldaps_mae_ms,best_ldaps_bias_nwp_minus_scada_ms,best_ldaps_correlation,best_ldaps_strong_wind_l3_root_ms,best_gfs_source,best_gfs_feature,best_gfs_grid_id,best_gfs_distance_km,best_gfs_distance_rank,best_gfs_is_nearest_grid,best_gfs_n_overlap,best_gfs_l3_root_ms,best_gfs_mae_ms,best_gfs_bias_nwp_minus_scada_ms,best_gfs_correlation,best_gfs_strong_wind_l3_root_ms,best_lag_hours,best_lag_l3_root_ms,lag0_l3_root_ms,lag_l3_gain_ms
vestas_wtg01,kpx_group_1,VESTAS,V126,1,117,126,3.6,37.28211388888889,128.95058333333333,ldaps,50m_midpoint,2,2.4913719780586923,10,False,26303,3.2178591156290213,1.9494993694104368,0.256645054982365,0.7892623825290503,3.3460479745785254,ldaps,50m_midpoint,10,3.6610946706803658,ldaps,50m_midpoint,11,29.80763640675608,-1.4208070609314225,29.456992484497125,ldaps,50m_midpoint,2,2.4913719780586923,10,False,26303,3.2178591156290213,1.9494993694104368,0.256645054982365,0.7892623825290503,3.3460479745785254,gfs,850hpa,7,36.05784083984702,8,False,26303,4.456158719515309,2.623738600906713,0.7574677862617984,0.769617401381949,4.756681758086919,0,3.2178591156290213,3.2178591156290213,0.0
vestas_wtg02,kpx_group_1,VESTAS,V126,2,117,126,3.6,37.28445833333333,128.94954166666668,ldaps,50m_midpoint,2,2.295888504945367,7,False,26303,3.010680987929262,1.8070423634099115,0.26592871717552424,0.8245732230020356,2.9534985652621835,ldaps,50m_midpoint,5,3.4443766827953737,ldaps,50m_midpoint,11,22.55267467988271,-5.852247488802018,21.2327290354746,ldaps,50m_midpoint,2,2.295888504945367,7,False,26303,3.010680987929262,1.8070423634099115,0.26592871717552424,0.8245732230020356,2.9534985652621835,gfs,850hpa,4,18.06862359859888,2,False,26303,4.284606747324441,2.4388790212710796,0.7619155949614694,0.8005097148550235,4.3881556725839985,0,3.010680987929262,3.010680987929262,0.0
vestas_wtg03,kpx_group_1,VESTAS,V126,3,117,126,3.6,37.286525,128.94971944444444,ldaps,50m_midpoint,2,2.0875928483850292,6,False,26303,2.821510458194774,1.8077130991461237,0.013832790221691338,0.8329613576575766,3.0792812056523617,ldaps,50m_midpoint,5,3.35605422464445,ldaps,50m_midpoint,11,22.683016483976242,7.244369027687231,21.436675706942452,ldaps,50m_midpoint,2,2.0875928483850292,6,False,26303,2.821510458194774,1.8077130991461237,0.013832790221691338,0.8329613576575766,3.0792812056523617,gfs,850hpa,4,18.13384238588427,2,False,26303,3.9423040759797376,2.3683703405066443,0.5098196680076363,0.8182599008222374,4.216946636196359,-1,2.8103588341833152,2.821510458194774,0.01115162401145886
vestas_wtg04,kpx_group_1,VESTAS,V126,4,117,126,3.6,37.28975277777778,128.9510222222222,ldaps,10m,12,2.9136420627985213,11,False,26303,3.269594224036289,2.188871327726367,-1.6207179941460264,0.7663883929061963,4.704668565894864,ldaps,50m_midpoint,5,3.7160360972977378,ldaps,50m_midpoint,11,36.11967002717993,26.131408732103633,24.168903710112033,ldaps,10m,12,2.9136420627985213,11,False,26303,3.269594224036289,2.188871327726367,-1.6207179941460264,0.7663883929061963,4.704668565894864,gfs,850hpa,4,18.329074840315375,2,False,26303,4.362280515087511,2.6953390977767895,0.9832671201360376,0.779954542608336,5.10921264829338,-1,3.2646239633212133,3.269594224036289,0.0049702607150758915
vestas_wtg05,kpx_group_1,VESTAS,V126,5,117,126,3.6,37.29116666666666,128.95432777777776,ldaps,10m,12,2.783350671305656,10,False,26303,3.5421752932620305,2.167745991559138,-0.9049693976614682,0.6270641473091015,4.2272695877915885,ldaps,10m,6,3.5724924328318663,ldaps,50m_midpoint,6,29.29193489391784,4.579771988958304,29.214531056209914,ldaps,10m,12,2.783350671305656,10,False,26303,3.5421752932620305,2.167745991559138,-0.9049693976614682,0.6270641473091015,4.2272695877915885,gfs,100m,2,23.569146217903757,3,False,26303,4.4700188478893415,3.109397238469368,-2.1384938222592447,0.5214320821480551,6.109467214161032,0,3.5421752932620305,3.5421752932620305,0.0
vestas_wtg06,kpx_group_1,VESTAS,V126,6,117,126,3.6,37.28874444444444,128.95693333333332,ldaps,10m,12,2.4325093386049446,8,False,26303,2.8390938360253224,1.805225184631057,-1.204299879609028,0.7922791283426156,4.108233227925053,ldaps,10m,6,2.953266883455641,ldaps,50m_midpoint,12,23.253923333152986,5.256980844128301,23.086191790272444,ldaps,10m,12,2.4325093386049446,8,False,26303,2.8390938360253224,1.805225184631057,-1.204299879609028,0.7922791283426156,4.108233227925053,gfs,100m,2,23.79668162111434,3,False,26303,4.033282273365473,2.885482345945589,-2.437824304206804,0.6861810667199846,6.015058326626856,-1,2.833399159205618,2.8390938360253224,0.0056946768197043696
vestas_wtg07,kpx_group_2,VESTAS,V126,7,117,126,3.6,37.28783333333333,128.95963055555555,ldaps,10m,12,2.1868445240061387,8,False,26303,2.451316009325573,1.5839066661419716,-0.7804418089200066,0.7903748495373435,3.6563974364622673,ldaps,10m,6,2.5427881399466594,ldaps,50m_midpoint,6,23.66335339832472,-1.5337107590970198,23.485382177527327,ldaps,10m,12,2.1868445240061387,8,False,26303,2.451316009325573,1.5839066661419716,-0.7804418089200066,0.7903748495373435,3.6563974364622673,gfs,100m,2,23.859922036171625,3,False,26303,3.6390749052556286,2.572075641585845,-2.013966233517783,0.6820139415155443,5.632596568015484,-1,2.438858403219781,2.451316009325573,0.012457606105792163
vestas_wtg08,kpx_group_2,VESTAS,V126,8,117,126,3.6,37.28646944444444,128.9631222222222,ldaps,50m_midpoint,2,1.8091376276593878,5,False,26303,3.0393731337813046,1.9319832958216225,0.4023983467488302,0.8060682454230438,3.383113966693833,ldaps,50m_midpoint,6,3.135089638273645,ldaps,50m_midpoint,6,22.633244680608644,3.0525728043762745,22.665257335601794,ldaps,50m_midpoint,2,1.8091376276593878,5,False,26303,3.0393731337813046,1.9319832958216225,0.4023983467488302,0.8060682454230438,3.383113966693833,gfs,850hpa,4,19.29026128402451,2,False,26303,4.097141118085266,2.4728012833964392,0.8983852245347753,0.8113302505142782,4.862367739308406,-1,3.0130466288285405,3.0393731337813046,0.026326504952764118
vestas_wtg09,kpx_group_2,VESTAS,V126,9,117,126,3.6,37.28360277777777,128.96595555555555,ldaps,50m_midpoint,2,2.1566268972867153,6,False,26303,3.1098376451028535,1.995013890641872,0.15296810431767532,0.793406912883944,3.6332772489427154,ldaps,50m_midpoint,6,3.1964103552776426,ldaps,50m_midpoint,6,26.21311409726133,12.66710944676813,23.144801175074267,ldaps,50m_midpoint,2,2.1566268972867153,6,False,26303,3.1098376451028535,1.995013890641872,0.15296810431767532,0.793406912883944,3.6332772489427154,gfs,850hpa,4,19.472136483967155,2,False,26303,3.890815036721969,2.347952403416121,0.6489549821036202,0.8285499606338802,4.609524377068228,-1,3.0889351052345293,3.1098376451028535,0.020902539868324244
vestas_wtg10,kpx_group_2,VESTAS,V126,10,117,126,3.6,37.281325,128.96782777777779,ldaps,50m_midpoint,7,1.2150624891558561,4,False,26303,3.217986316091362,2.0750801407167083,-0.3050528302759803,0.8222514029411836,3.741422484944991,ldaps,50m_midpoint,11,3.591003727260146,ldaps,50m_midpoint,12,26.419139723885316,-7.666112812268185,25.596717787005343,ldaps,50m_midpoint,7,1.2150624891558561,4,False,26303,3.217986316091362,2.0750801407167083,-0.3050528302759803,0.8222514029411836,3.741422484944991,gfs,850hpa,4,19.588426446036536,2,False,26303,3.749918453358426,2.3637176856650846,-0.18497296020967724,0.8197067595122997,4.337423043938905,-1,3.1970368277056664,3.217986316091362,0.02094948838569577
vestas_wtg11,kpx_group_2,VESTAS,V126,11,117,126,3.6,37.27913611111111,128.96697777777777,ldaps,50m_midpoint,7,1.4351031807553183,4,False,26303,3.2267013744158177,2.073212566075312,-0.3177248955663781,0.8255921407382709,3.8006593886327273,ldaps,50m_midpoint,11,3.659548667564938,ldaps,50m_midpoint,12,22.779452300727662,2.424070546790194,22.59800567824085,ldaps,50m_midpoint,7,1.4351031807553183,4,False,26303,3.2267013744158177,2.073212566075312,-0.3177248955663781,0.8255921407382709,3.8006593886327273,gfs,850hpa,4,19.472714599982023,2,False,26303,3.81435228842295,2.384744831659597,-0.19764502550007507,0.815750742594327,4.382958584197634,-1,3.2123015337465732,3.2267013744158177,0.01439984066924449
vestas_wtg12,kpx_group_2,VESTAS,V126,12,117,126,3.6,37.27516111111111,128.96737222222222,ldaps,50m_midpoint,3,3.1776942274367923,13,False,26303,3.130809334942154,1.9435278385157184,0.007987654896395779,0.8163712763889092,3.6189287226249576,ldaps,50m_midpoint,11,3.3695866595493436,ldaps,50m_midpoint,12,44.869975620482265,-10.55984241198022,42.6469874894284,ldaps,50m_midpoint,3,3.1776942274367923,13,False,26303,3.130809334942154,1.9435278385157184,0.007987654896395779,0.8163712763889092,3.6189287226249576,gfs,850hpa,4,19.43911623644341,2,False,26303,4.113302656242707,2.4140690300808325,0.5970358283949179,0.8033081789476443,4.3738625926597985,-1,3.1147036051946064,3.130809334942154,0.01610572974754776
unison_wtg01,kpx_group_3,UNISON,U136,1,117,136,4.2,37.28325833333333,128.96249166666666,ldaps,10m,12,1.6682230524983461,4,False,17305,2.297050059936412,1.4570510262926737,-0.42443742894014064,0.8095628387962349,3.4865632635061248,ldaps,10m,6,2.393656975006081,ldaps,50m_midpoint,11,28.49543615132687,13.874823658989952,24.363856809110786,ldaps,10m,12,1.6682230524983461,4,False,17305,2.297050059936412,1.4570510262926737,-0.42443742894014064,0.8095628387962349,3.4865632635061248,gfs,100m,2,24.32734309054428,3,False,17305,3.421947024451144,2.2421686842262,-1.6366194896521544,0.7041477618930243,5.5181881357293685,0,2.297050059936412,2.297050059936412,0.0
unison_wtg02,kpx_group_3,UNISON,U136,2,117,136,4.2,37.27789166666667,128.97050000000002,ldaps,10m,13,2.219231922594602,7,False,17306,2.754542752950918,1.6719309322038671,-0.05103580145544817,0.7752068547619256,4.364463728428818,ldaps,10m,12,2.791277825584245,ldaps,10m,11,34.80261487097852,19.452488483917318,27.460371306653236,ldaps,10m,13,2.219231922594602,7,False,17306,2.754542752950918,1.6719309322038671,-0.05103580145544817,0.7752068547619256,4.364463728428818,gfs,100m,2,24.83449002672697,3,False,17306,3.6892401106493993,2.108975891656407,-1.2940519306760658,0.686187147567569,6.558164305682181,-1,2.7392065004865804,2.754542752950918,0.015336252464337452
unison_wtg03,kpx_group_3,UNISON,U136,3,117,136,4.2,37.274452777777775,128.97292777777778,ldaps,10m,13,1.962511523318199,7,False,17473,2.8107212083409308,1.700421735982187,-0.8387268099575532,0.832663256460662,4.343160338252315,ldaps,10m,12,2.9314623108070865,ldaps,50m_midpoint,6,37.01742378446988,-21.885863437649608,27.167935857155438,ldaps,10m,13,1.962511523318199,7,False,17473,2.8107212083409308,1.700421735982187,-0.8387268099575532,0.832663256460662,4.343160338252315,gfs,100m,2,25.193536341490443,4,False,17473,4.100227174704653,2.5404006288137135,-2.084970203580043,0.7212312855947971,6.552502738592002,0,2.8107212083409308,2.8107212083409308,0.0
unison_wtg04,kpx_group_3,UNISON,U136,4,117,136,4.2,37.27182777777778,128.974725,ldaps,10m,13,1.8189816205920353,5,False,17486,2.8104466679675304,1.6973664798632504,-0.904762600214562,0.8428448720981089,4.407857883877378,ldaps,10m,12,2.916207458299371,ldaps,10m,11,24.734544792551112,4.474773836428106,24.11753722595627,ldaps,10m,13,1.8189816205920353,5,False,17486,2.8104466679675304,1.6973664798632504,-0.904762600214562,0.8428448720981089,4.407857883877378,gfs,100m,2,25.469711295899693,4,False,17486,4.006712638818616,2.5414689486326774,-2.149535970395429,0.7506440182442987,6.364293041975714,0,2.8104466679675304,2.8104466679675304,0.0
unison_wtg05,kpx_group_3,UNISON,U136,5,117,136,4.2,37.268563888888885,128.97657777777778,ldaps,50m_midpoint,3,3.7463040478334793,12,False,17319,3.041532298619857,1.9226235616128076,0.6766645487381809,0.8372002595538127,3.310830256165857,ldaps,10m,12,3.2374259892580546,ldaps,50m_midpoint,2,43.063973571935875,-28.28014049017443,29.106964770376052,ldaps,50m_midpoint,3,3.7463040478334793,12,False,17319,3.041532298619857,1.9226235616128076,0.6766645487381809,0.8372002595538127,3.310830256165857,gfs,850hpa,4,20.158231417629807,2,False,17319,4.308813941204711,2.5175477051329795,1.2995349494933666,0.8031012599160986,4.496359514560433,-1,3.0341629220085693,3.041532298619857,0.00736937661128767
