group,variant,score,nmae,ficr
kpx_group_1,raw,0.602677899636193,0.1259463692305048,0.33130216850289074
kpx_group_1,per_group_isotonic,0.6110350881090194,0.12628579161266607,0.3483559678307049
kpx_group_1,pooled_isotonic,0.6110600710414006,0.1264088888887004,0.34852903097150156
kpx_group_1,group2_only_isotonic,0.6093792795452712,0.1266712526091137,0.345429811699656
kpx_group_2,raw,0.6320582983230577,0.12618235634616057,0.39029895299227596
kpx_group_2,per_group_isotonic,0.6364804810505936,0.12793212418131786,0.40089308628250514
kpx_group_2,pooled_isotonic,0.6376569598880236,0.12817017856381588,0.40348409833986315
kpx_group_2,group2_only_isotonic,0.6364804810505936,0.12793212418131786,0.40089308628250514
kpx_group_3,raw,0.5586704393069164,0.14957710826515513,0.26691798687898793
kpx_group_3,per_group_isotonic,0.5565323909365694,0.1507413880783364,0.2638061699514751
kpx_group_3,pooled_isotonic,0.5574530946985815,0.1506305737777367,0.26553676317489977
kpx_group_3,group2_only_isotonic,0.5570271079555592,0.15079889648764,0.26485311239875836
