pred_year,tree_weight,group,score,nmae,ficr,n
2022,0.0,kpx_group_1,0.5994525708243243,0.13693634236144447,0.3358414840100931,8664
2022,0.25,kpx_group_1,0.6125620144854496,0.1311844443342831,0.3563084733051821,8664
2022,0.4,kpx_group_1,0.6202120144017285,0.12877446115321267,0.36919848995666954,8664
2022,0.5,kpx_group_1,0.6249205595337293,0.12757741463601943,0.37741853370347794,8664
2022,0.6,kpx_group_1,0.6271334029717516,0.12675497702531902,0.38102178296882216,8664
2022,0.75,kpx_group_1,0.6308671384642093,0.12633230005497834,0.38806657698339697,8664
2022,1.0,kpx_group_1,0.6335780325719766,0.12761822436479692,0.3947742895087504,8664
2022,0.0,kpx_group_2,0.6297683137958492,0.14923712781769133,0.4087737554093898,8664
2022,0.25,kpx_group_2,0.6425712933333811,0.13701845217686986,0.4221610388436322,8664
2022,0.4,kpx_group_2,0.646084096149018,0.13139786658109218,0.4235660588791281,8664
2022,0.5,kpx_group_2,0.646300725574801,0.12846658533028552,0.42106803647988744,8664
2022,0.6,kpx_group_2,0.6463111179575085,0.12609868450711725,0.4187209204221344,8664
2022,0.75,kpx_group_2,0.6471612090820471,0.12368022895132506,0.4180026471154192,8664
2022,1.0,kpx_group_2,0.6381170736201449,0.12308056564066615,0.39931471288095594,8664
2023,0.0,kpx_group_1,0.5975531655466694,0.13592502735221154,0.33103135844555026,8757
2023,0.25,kpx_group_1,0.6018700922174269,0.13193928622596343,0.3356794706608174,8757
2023,0.4,kpx_group_1,0.6045141982596005,0.13030313186546463,0.3393315283846655,8757
2023,0.5,kpx_group_1,0.6046581912702557,0.12957323863775358,0.3388896211782649,8757
2023,0.6,kpx_group_1,0.6061610147927775,0.12911737416446847,0.3414394037500234,8757
2023,0.75,kpx_group_1,0.6067698709603571,0.1289859460699679,0.3425256879906821,8757
2023,1.0,kpx_group_1,0.6047121027329907,0.13015618434121168,0.3395803898071931,8757
2023,0.0,kpx_group_2,0.6445387103440251,0.1473589383745044,0.4364363590625546,8758
2023,0.25,kpx_group_2,0.6524297728213907,0.13798432307119324,0.4428438687139747,8758
2023,0.4,kpx_group_2,0.6551981001381101,0.13384482285506882,0.44424102313128905,8758
2023,0.5,kpx_group_2,0.6543464083473004,0.13173640464704553,0.44042922134164636,8758
2023,0.6,kpx_group_2,0.652200311651179,0.1301546160025483,0.4345552393049062,8758
