group,nmae,ficr,score,stage,variant
kpx_group_1,0.12634410148812572,0.3738671311271253,0.6237615148194998,physics_only,p90
kpx_group_2,0.13069611481992377,0.4138983955472599,0.6416011403636681,physics_only,p90
kpx_group_1,0.12469093080728877,0.3671718275950037,0.6212404483938575,with_bias,p90
kpx_group_2,0.12980801475606146,0.41404855357444614,0.6421202694091923,with_bias,p90
kpx_group_3,0.14557100339983775,0.31340321270317206,0.5839161046516672,physics_only,p90
kpx_group_3,0.1443194905341853,0.3237310072903245,0.5897057583780696,with_bias,p90
kpx_group_1,0.12271724604349893,0.3919610627481443,0.6346219083523227,physics_only,cubic
kpx_group_2,0.13139161946088163,0.40574629584751964,0.637177338193319,physics_only,cubic
kpx_group_1,0.12162048641553942,0.38262995250643195,0.6305047330454463,with_bias,cubic
kpx_group_2,0.1306084541957989,0.40537574888411054,0.6373836473441559,with_bias,cubic
kpx_group_3,0.14611473326855218,0.31334464725518074,0.5836149569933142,physics_only,cubic
kpx_group_3,0.14560114278951142,0.32664278425414056,0.5905208207323146,with_bias,cubic
kpx_group_1,0.1240153735635152,0.3892303613404007,0.6326074938884427,physics_only,mix_cubic_p90
kpx_group_2,0.13108163627765484,0.4142249172937645,0.6415716405080548,physics_only,mix_cubic_p90
kpx_group_1,0.12272947901825786,0.3769386308208162,0.6271045759012792,with_bias,mix_cubic_p90
kpx_group_2,0.12994591392661467,0.4151572465718614,0.6426056663226234,with_bias,mix_cubic_p90
kpx_group_3,0.14561285977923072,0.3094310377837756,0.5819090890022725,physics_only,mix_cubic_p90
kpx_group_3,0.14465440919662845,0.3171864696705972,0.5862660302369844,with_bias,mix_cubic_p90
