model_set,variant,group,score,nmae,ficr
all4,raw,kpx_group_1,0.5980263892164231,0.12358091573430237,0.31963369416714876
all4,pooled_isotonic,kpx_group_1,0.6149376333868068,0.12279574593024166,0.3526710127038553
all4,raw,kpx_group_2,0.6386162118333383,0.12273770193756678,0.39997012560424333
all4,pooled_isotonic,kpx_group_2,0.6461193074748373,0.12441726377104556,0.41665587872071996
all4,raw,kpx_group_3,0.5592191459610274,0.1468782873987903,0.26531657932084496
all4,pooled_isotonic,kpx_group_3,0.5595509628000238,0.14748893545251454,0.2665908610525622
hist_only,raw,kpx_group_1,0.612429188586536,0.12348072931941963,0.34833910649249183
hist_only,pooled_isotonic,kpx_group_1,0.6194580019502149,0.12351405591802347,0.3624300598184533
hist_only,raw,kpx_group_2,0.6382242783519447,0.12398796283552346,0.40043651953941306
hist_only,pooled_isotonic,kpx_group_2,0.6450138852181588,0.12562705479160086,0.4156548252279184
hist_only,raw,kpx_group_3,0.563898307796338,0.14741213514877094,0.2752087507414468
hist_only,pooled_isotonic,kpx_group_3,0.5636845531007073,0.14834098856944528,0.27571009477086006
all4_hist,raw,kpx_group_1,0.602074681252335,0.12300529347773549,0.32715465598240545
all4_hist,pooled_isotonic,kpx_group_1,0.6160669337530942,0.12226507869284561,0.35439894619903395
all4_hist,raw,kpx_group_2,0.6387808783136794,0.12240129355441093,0.39996305018176975
all4_hist,pooled_isotonic,kpx_group_2,0.6475433219508409,0.1239927276535203,0.419079371555202
all4_hist,raw,kpx_group_3,0.5606666255112887,0.14631139674259205,0.2676446477651694
all4_hist,pooled_isotonic,kpx_group_3,0.561149606336512,0.14699187489760812,0.269291087570632
lgbm_xgb_extra_hist,raw,kpx_group_1,0.6039368078425753,0.12297829178347497,0.3308519074686255
lgbm_xgb_extra_hist,pooled_isotonic,kpx_group_1,0.6181325882380333,0.12251915956414217,0.35878433604020876
lgbm_xgb_extra_hist,raw,kpx_group_2,0.6388146858637647,0.12314821360392192,0.40077758533145125
lgbm_xgb_extra_hist,pooled_isotonic,kpx_group_2,0.6448962180389775,0.12477498827215386,0.41456742435010885
lgbm_xgb_extra_hist,raw,kpx_group_3,0.5619690170939825,0.14626917670407702,0.27020721089204197
lgbm_xgb_extra_hist,pooled_isotonic,kpx_group_3,0.5617673512832233,0.14718575201999523,0.27072045458644195
hist_only,pooled_isotonic,mean,0.6093854800896937,0.1324940330930232,0.35126499327241056
lgbm_xgb_extra_hist,pooled_isotonic,mean,0.6082653858534114,0.1314932999520971,0.34802407165891985
all4_hist,pooled_isotonic,mean,0.6082532873468157,0.13108322708132467,0.34758980177495596
all4,pooled_isotonic,mean,0.606869301220556,0.13156731505126726,0.34530591749237916
hist_only,raw,mean,0.6048505915782729,0.13162694243457135,0.3413281255911172
lgbm_xgb_extra_hist,raw,mean,0.6015735036001075,0.13079856069715798,0.3339455678973729
all4_hist,raw,mean,0.6005073950257677,0.13057266125824615,0.33158745130978157
all4,raw,mean,0.5986205823369296,0.13106563502355315,0.32830679969741233
