candidate,group,pinn_weight,score,nmae,ficr
tree_meteo,kpx_group_1,0.0,0.6139566049003646,0.1237211778394559,0.35163438764018523
tree_meteo,kpx_group_2,0.0,0.6415562908504526,0.1253762600467528,0.4084888417476582
tree_meteo,kpx_group_3,0.0,0.557899934849537,0.14871157280003452,0.26451144249910863
tree_meteo,mean,0.0,0.6044709435334514,,
pinn_meteo,kpx_group_1,1.0,0.6256535603842207,0.12120470917788631,0.37251182994632775
pinn_meteo,kpx_group_2,1.0,0.6458371363079409,0.1325892850140976,0.42426355762997947
pinn_meteo,kpx_group_3,1.0,0.595391474175606,0.14119534589486704,0.331978294246079
pinn_meteo,mean,1.0,0.6222940569559227,,
global_pinn_0.05,kpx_group_1,0.05,0.6162984122060199,0.12251750782395439,0.35511433223599415
global_pinn_0.05,kpx_group_2,0.05,0.6433126357931881,0.12451904788206802,0.41114431946844426
global_pinn_0.05,kpx_group_3,0.05,0.561443915625227,0.14636903492902803,0.26925686617948213
global_pinn_0.05,mean,0.05000000000000001,0.607018321208145,,
global_pinn_0.10,kpx_group_1,0.1,0.6183418388894285,0.12141690386720282,0.3581005816460598
global_pinn_0.10,kpx_group_2,0.1,0.6449322613973346,0.12379592624274402,0.4136604490374132
global_pinn_0.10,kpx_group_3,0.1,0.5656476669948274,0.14422716519649256,0.2755224991861474
global_pinn_0.10,mean,0.10000000000000002,0.6096405890938635,,
global_pinn_0.15,kpx_group_1,0.15000000000000002,0.6199943106583412,0.1204311815157696,0.36041980283245206
global_pinn_0.15,kpx_group_2,0.15000000000000002,0.6460738366573785,0.12318600253111976,0.4153336758458768
global_pinn_0.15,kpx_group_3,0.15000000000000002,0.5673820660109059,0.14229350946101746,0.27705764148282935
global_pinn_0.15,mean,0.15000000000000002,0.6111500711088752,,
global_pinn_0.20,kpx_group_1,0.2,0.6227362245461118,0.11956212302217391,0.36503457211439755
global_pinn_0.20,kpx_group_2,0.2,0.6476292061785551,0.12269936001165006,0.41795777236876036
global_pinn_0.20,kpx_group_3,0.2,0.5698524812608685,0.14052834999193736,0.2802333125136744
global_pinn_0.20,mean,0.20000000000000004,0.6134059706618452,,
global_pinn_0.25,kpx_group_1,0.25,0.623964098357264,0.11877886923614743,0.36670706595067537
global_pinn_0.25,kpx_group_2,0.25,0.6493936454359173,0.12237018385551522,0.42115747472734977
global_pinn_0.25,kpx_group_3,0.25,0.57276606580575,0.13891500570443294,0.2844471373159328
global_pinn_0.25,mean,0.25,0.6153746031996437,,
global_pinn_0.30,kpx_group_1,0.3,0.6250154927430611,0.11811899257011133,0.3681499780562336
global_pinn_0.30,kpx_group_2,0.3,0.6504232833973271,0.12217969395875734,0.4230262607534117
global_pinn_0.30,kpx_group_3,0.3,0.5769911543667897,0.13749756608119462,0.29147987481477405
global_pinn_0.30,mean,0.3,0.6174766435023926,,
global_pinn_0.35,kpx_group_1,0.35000000000000003,0.6263739349610247,0.1175937240001746,0.370341593922224
global_pinn_0.35,kpx_group_2,0.35000000000000003,0.653238048681015,0.12210915480191589,0.4285852521639457
global_pinn_0.35,kpx_group_3,0.35000000000000003,0.5791181197022367,0.13629447595735716,0.29453071536183056
global_pinn_0.35,mean,0.35000000000000003,0.6195767011147587,,
global_pinn_0.40,kpx_group_1,0.4,0.6275861120583721,0.11718758531081092,0.37235980942755503
global_pinn_0.40,kpx_group_2,0.4,0.6539179749736292,0.12214317742136821,0.42997912736862665
global_pinn_0.40,kpx_group_3,0.4,0.5840738912063456,0.135310759956101,0.30345854236879205
global_pinn_0.40,mean,0.4000000000000001,0.6218593260794489,,
global_pinn_0.45,kpx_group_1,0.45,0.6284753728808533,0.1168930495797003,0.3738437953414069
global_pinn_0.45,kpx_group_2,0.45,0.6545557614837748,0.12229685716656798,0.4314083801341176
global_pinn_0.45,kpx_group_3,0.45,0.5853902749829281,0.13451653880987555,0.3052970887757318
global_pinn_0.45,mean,0.45,0.6228071364491854,,
global_pinn_0.50,kpx_group_1,0.5,0.6289211027395946,0.11671589673965874,0.37455810221884794
global_pinn_0.50,kpx_group_2,0.5,0.6549601372948887,0.12258742994779091,0.43250770453756826
global_pinn_0.50,kpx_group_3,0.5,0.5888043136798898,0.13392352842499292,0.3115321557847725
global_pinn_0.50,mean,0.5,0.6242285179047911,,
per_group_best,kpx_group_1,0.55,0.6293262935290986,0.11665246536847033,0.37530505242666756
per_group_best,kpx_group_2,0.55,0.6551339841208763,0.12299675018709248,0.4332647184288451
per_group_best,kpx_group_3,0.7000000000000001,0.5966683202155459,0.13407923711026662,0.3274158775413584
per_group_best,mean,0.6000000000000001,0.6270428659551737,,
