variant,group,pred_year,mse,rmse,mae,bias,metric_mse,metric_rmse,metric_mae,metric_bias,score,nmae,ficr,pred_min_ratio,pred_max_ratio,n
dynamic_pinn_raw,kpx_group_1,2022,0.02931534436713514,0.1712172431945309,0.13149403901077927,0.0891078060671962,0.036707560942253366,0.1915921734890373,0.148453448074475,0.08081178558990765,0.5961959018966914,0.148453448074475,0.34084525186785786,0.04257911263888888,0.988600462962963,8664
dynamic_pinn_floor20,kpx_group_1,2022,0.037263258768869684,0.19303693628129742,0.16404574024737312,0.12798559857098124,0.03623276532471524,0.19034906179100342,0.1484475753632926,0.09076200160327424,0.5971225586972286,0.1484475753632926,0.3426926927577498,0.2,0.988600462962963,8664
dynamic_fixed_50_15_35,kpx_group_1,2022,0.03073747889185201,0.17532107372433017,0.14717376656591227,0.10778697094808642,0.03080152045304012,0.17550361948700693,0.13599229982691977,0.07298506252395759,0.6200049039557445,0.13599229982691977,0.37600210773840864,0.1422236680719216,0.9971751333400193,8664
dynamic_pinn_raw,kpx_group_1,2023,0.025145325520975686,0.15857277673351025,0.11755839341184708,0.04646364823571211,0.031292902700744585,0.17689800083874488,0.1309202856581257,0.018209041803001903,0.6396008498367626,0.1309202856581257,0.41012198533165084,0.044395177546296294,0.9906612546296296,8757
dynamic_pinn_floor20,kpx_group_1,2023,0.03327891671597556,0.18242509892001035,0.15119257215761783,0.08825451730160845,0.030677018412420633,0.17514856097730472,0.13061318595690216,0.030568069533944458,0.6410670792988178,0.13061318595690216,0.4127473445545377,0.2,0.9906612546296296,8757
dynamic_fixed_50_15_35,kpx_group_1,2023,0.029073801350502974,0.17051041419955257,0.14008486973593826,0.07324838020933362,0.02857731450337877,0.16904826087061284,0.12636626572104917,0.020124272839495947,0.6444583777711179,0.12636626572104917,0.41528302126328503,0.14657326997470632,0.988782881438476,8757
dynamic_pinn_raw,kpx_group_1,2024,0.026402067895884965,0.1624871314778034,0.11723663974353994,0.0641542061155956,0.025327580577294614,0.15914641239215735,0.11954808579949593,0.026363724413324126,0.6584154166253207,0.11954808579949593,0.43637891905013726,0.03144064675925926,0.9979951666666667,8778
dynamic_pinn_floor20,kpx_group_1,2024,0.03599950353227601,0.18973535129826494,0.155902313691531,0.10905155279201793,0.024861972656400003,0.15767679809153914,0.11980587208627498,0.037373324646722786,0.6595390883714758,0.11980587208627498,0.43888404882922666,0.2,0.9979951666666667,8778
dynamic_fixed_50_15_35,kpx_group_1,2024,0.030570876674365397,0.17484529354365075,0.14167982241451454,0.09064432556984141,0.021984672512596115,0.14827229178978826,0.11242958160467897,0.02263411331393122,0.6653164386535603,0.11242958160467897,0.44306245891179946,0.1452333078234628,0.9850943535397005,8778
dynamic_pinn_raw,kpx_group_2,2022,0.025083260805623633,0.15837695793777462,0.11506525389782987,0.0533445836825553,0.03028369493135158,0.1740221104668932,0.12914362228141,0.0314767107434232,0.6584513779186394,0.12914362228141,0.4460463781186887,0.023495491666666667,0.9853645370370371,8664
