variant,pinn_weight,tree_weight,tcn_family_weight,mean_score,mean_nmae,mean_ficr,worst_fold,std_score,n_folds
pinn0.25_tree0.40_tcn0.35,0.25,0.4,0.35,0.6308848970315629,0.1275956009306453,0.38936539499377104,0.6166692612036767,0.012358668134721033,3
pinn0.10_tree0.50_tcn0.40,0.1,0.5,0.4,0.6306757219924078,0.12691046724604102,0.3882619112308567,0.6168660732649617,0.012007819564102594,3
pinn0.30_tree0.40_tcn0.30,0.30000000000000004,0.4,0.29999999999999993,0.6306261194284678,0.12774715574934978,0.3889993946062853,0.6166634289939915,0.012099276360768435,3
pinn0.10_tree0.55_tcn0.35,0.1,0.55,0.35,0.6306175960239746,0.1265848120580905,0.3878200041060396,0.6165509839870641,0.012296623749124805,3
pinn0.30_tree0.35_tcn0.35,0.30000000000000004,0.35000000000000003,0.3499999999999999,0.6306011707165955,0.12815919762191788,0.3893615390551088,0.6171040760246843,0.011776991327847,3
pinn0.20_tree0.45_tcn0.35,0.2,0.45,0.35000000000000003,0.6306005590372208,0.1271443487021123,0.3883454667765538,0.6163785611272979,0.012316614975033384,3
pinn0.30_tree0.30_tcn0.40,0.30000000000000004,0.30000000000000004,0.3999999999999999,0.6305836101719869,0.1286801564600318,0.38984737680400583,0.6176068087008152,0.011420206162948242,3
pinn0.25_tree0.35_tcn0.40,0.25,0.35000000000000003,0.39999999999999997,0.6305120529539378,0.12807004976007988,0.38909415566795547,0.6173830815699893,0.011436027933975145,3
pinn0.25_tree0.45_tcn0.30,0.25,0.45,0.3,0.6304622457837558,0.12723251419189038,0.38815700575940193,0.6161340999447331,0.012410129849699303,3
pinn0.25_tree0.30_tcn0.45,0.25,0.30000000000000004,0.44999999999999996,0.6304071998710798,0.1286501781933473,0.3894645779355071,0.6173731818544549,0.011468603680987215,3
pinn0.20_tree0.40_tcn0.40,0.2,0.4,0.4,0.6304061427545021,0.1275730941164687,0.38838537962547287,0.616922058946349,0.01170774817431752,3
pinn0.15_tree0.50_tcn0.35,0.15000000000000002,0.5,0.35,0.6303867126557322,0.1268074694140352,0.3875808947254995,0.6164058928195186,0.012147719618759361,3
pinn0.10_tree0.40_tcn0.50,0.1,0.4,0.5,0.6302846695866937,0.1279075883407501,0.3884769275141375,0.6174500161878044,0.011126978326487728,3
pinn0.30_tree0.45_tcn0.25,0.30000000000000004,0.45,0.24999999999999994,0.6302734339499065,0.12745355994659943,0.3880004278464126,0.6157693351490411,0.01257083408818464,3
pinn0.15_tree0.55_tcn0.30,0.15000000000000002,0.55,0.29999999999999993,0.6302604097954443,0.12654686803607754,0.3870676876269661,0.6157587273774805,0.012607178504808924,3
