variant,stage2_score,stage2_nmae,stage2_ficr
mix30_unison70_vestas_p90,0.5976579109563196,0.13991031953034225,0.33522614144298146
mix30_unison70_vestas_cubic,0.5976355603832293,0.14048319745424107,0.3357543182206998
mix50_unison50_vestas_cubic,0.5965078320236185,0.1404081746032747,0.33342383865051156
unison_cubic,0.5893117653899751,0.14514037551388614,0.3237639062938363
