group,turbine_id,best_epoch,turbine_val_score,turbine_val_nmae,turbine_val_ficr,n_train,n_train_before_drop,n_drop_highwind_lowpower,drop_wind_threshold,drop_power_ratio_threshold,n_val_all,n_val_target,pred_year,train_years,window,n_features,weather_source,target_share_alpha,static_share
kpx_group_2,vestas_wtg11,2,0.6477142924116823,0.14705438621479805,0.4424829710381628,10415,10415,0,,,8760,5474,2023,"2022,2024",72,75,mixed,0.5,0.19463426993862293
kpx_group_2,vestas_wtg12,1,0.6119465118351228,0.15113691109762709,0.3750299347678727,10415,10415,0,,,8760,5474,2023,"2022,2024",72,75,mixed,0.5,0.16797042245801788
kpx_group_2,vestas_wtg07,7,0.6779485471229532,0.1058923587176407,0.461789452963547,10913,10913,0,,,8784,4976,2024,"2022,2023",72,75,mixed,0.5,0.10661275349338652
kpx_group_2,vestas_wtg08,3,0.6566577606525043,0.13729696304894382,0.45061248435395235,10913,10913,0,,,8784,4976,2024,"2022,2023",72,75,mixed,0.5,0.15484521223420963
kpx_group_2,vestas_wtg09,2,0.6663571005522824,0.12565102831301156,0.4583652294175764,10913,10913,0,,,8784,4976,2024,"2022,2023",72,75,mixed,0.5,0.16459182562329497
kpx_group_2,vestas_wtg10,4,0.6555834065783269,0.14550474328967491,0.4566715564463287,10913,10913,0,,,8784,4976,2024,"2022,2023",72,75,mixed,0.5,0.20924883379170536
kpx_group_2,vestas_wtg11,7,0.630554394020284,0.14243945815299996,0.403548246193568,10913,10913,0,,,8784,4976,2024,"2022,2023",72,75,mixed,0.5,0.20159781647131172
kpx_group_2,vestas_wtg12,2,0.6711910849863304,0.11971306975887011,0.4620952397315309,10913,10913,0,,,8784,4976,2024,"2022,2023",72,75,mixed,0.5,0.16310355838609178
kpx_group_3,unison_wtg01,13,0.5587513792790262,0.16171433524667522,0.2792170938047277,4466,4466,0,,,8760,4842,2023,"2022,2024",72,75,mixed,0.5,0.1612283015626221
kpx_group_3,unison_wtg02,4,0.5944554595040086,0.14423326659175847,0.3331441855997756,4466,4466,0,,,8760,4842,2023,"2022,2024",72,75,mixed,0.5,0.15129068705118687
kpx_group_3,unison_wtg03,15,0.5745758099217959,0.1738943303008179,0.3230459501444097,4466,4466,0,,,8760,4842,2023,"2022,2024",72,75,mixed,0.5,0.22119718496031174
kpx_group_3,unison_wtg04,3,0.5766619789387883,0.1826460899352577,0.3359700478128344,4466,4466,0,,,8760,4842,2023,"2022,2024",72,75,mixed,0.5,0.2160074574648555
kpx_group_3,unison_wtg05,3,0.5613989056597762,0.18913134416891697,0.31192915548846945,4466,4466,0,,,8760,4842,2023,"2022,2024",72,75,mixed,0.5,0.25027636896102373
kpx_group_3,unison_wtg01,6,0.5652143535261895,0.1676387054927874,0.2980674125451665,4842,4842,0,,,8784,4466,2024,"2022,2023",72,75,mixed,0.5,0.19571193001173018
kpx_group_3,unison_wtg02,13,0.5986163183969522,0.1296277255081585,0.3268603623020629,4842,4842,0,,,8784,4466,2024,"2022,2023",72,75,mixed,0.5,0.13957123444086664
kpx_group_3,unison_wtg03,1,0.5912331676873841,0.1469341644663104,0.3294004998410788,4842,4842,0,,,8784,4466,2024,"2022,2023",72,75,mixed,0.5,0.21623492085449444
kpx_group_3,unison_wtg04,6,0.5943097593648379,0.14808952328573732,0.33670904201541313,4842,4842,0,,,8784,4466,2024,"2022,2023",72,75,mixed,0.5,0.21412219223131634
kpx_group_3,unison_wtg05,2,0.6013722210111809,0.15014409412342303,0.3528885361457848,4842,4842,0,,,8784,4466,2024,"2022,2023",72,75,mixed,0.5,0.23435972246159237
