train_years,stat,kpx_group_1,kpx_group_2,kpx_group_3
"2022,2023",min,80.75691,0.0,0.0
"2022,2023",max,21202.783,20655.615,21000.0
"2022,2023",mean,8208.02,9356.579,7493.857
"2022,2024",min,268.31964,0.0,0.0
"2022,2024",max,20748.564,20828.344,21000.0
"2022,2024",mean,8207.916,9269.427,7509.7104
"2023,2024",min,150.75572,0.0,0.0
"2023,2024",max,21600.0,20865.98,21000.0
"2023,2024",mean,8565.629,9363.724,7448.677
