pinn_recipe,tree_proxy,pinn_weight,score,nmae,ficr
unison__mix_30_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.7000000000000001,0.6023856104784019,0.1382423183378919,0.3430135392946957
unison__mix_30_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.7000000000000001,0.6021708118763234,0.13847125349867764,0.3428128772513244
unison__vestas_g2_teacher,tree_group2_transfer_group3_features,0.7000000000000001,0.6018594030074073,0.1382331689519776,0.341951974966792
vestas__vestas_g12_avg_teacher,tree_group2_transfer_group3_features,0.7000000000000001,0.6017552138540612,0.13767102061232156,0.34118144832044395
vestas__vestas_g12_avg_teacher,tree_group2_proxy_same_time,0.7000000000000001,0.6017216801970089,0.1378970620101007,0.34134042240411844
unison__vestas_g2_teacher,tree_group2_proxy_same_time,0.7000000000000001,0.601545376481657,0.13846223122982543,0.3415529841931394
unison__mix_30_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.65,0.6015436302812995,0.13790612538790661,0.3409933859505057
unison__vestas_g12_avg_teacher,tree_group2_transfer_group3_features,0.8,0.6014777236091983,0.13844634034503903,0.3414017875634355
vestas__vestas_g12_avg_teacher,tree_group2_transfer_group3_features,0.65,0.6013349375750552,0.13732292283143788,0.3399927979815482
vestas__vestas_g12_avg_teacher,tree_group2_transfer_group3_features,0.8,0.6013181687071256,0.1387332509813543,0.34136958839560555
unison__vestas_g2_teacher,tree_group2_transfer_group3_features,0.65,0.6013151946429351,0.13786756364736882,0.34049795293323926
unison__vestas_g12_avg_teacher,tree_group2_transfer_group3_features,0.75,0.6012680370967911,0.13796498968037604,0.34050106387395834
unison__vestas_g12_avg_teacher,tree_group2_proxy_same_time,0.8,0.6011745086745829,0.13859008090367983,0.3409390982528457
unison__mix_50_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.55,0.6011116673964579,0.13799571337386302,0.3402190481667789
unison__vestas_g2_teacher,tree_group2_transfer_group3_features,0.6000000000000001,0.6010370662805085,0.13765469370512398,0.339728826266141
unison__vestas_g2_teacher,tree_group2_proxy_same_time,0.65,0.6010316315788738,0.1381688514730672,0.34023211463081493
unison__vestas_g12_avg_teacher,tree_group2_transfer_group3_features,0.7000000000000001,0.6009829089990177,0.13758272341666827,0.33954854141470375
unison__vestas_g12_avg_teacher,tree_group2_proxy_same_time,0.75,0.6009519490572676,0.13815570932853685,0.3400596074430719
unison__mix_50_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.65,0.6009487385117808,0.13838340313615763,0.3402808801597191
vestas__vestas_g2_teacher,tree_group2_proxy_same_time,0.7000000000000001,0.6009231454361775,0.1392916029390179,0.3411378938113729
unison__vestas_g2_teacher,tree_group2_transfer_group3_features,0.55,0.6009170227112767,0.13755326641891502,0.33938731184146836
unison__vestas_g2_teacher,tree_group2_proxy_same_time,0.75,0.6008966817019266,0.13892104019865184,0.34071440360250493
unison__vestas_g12_avg_teacher,tree_group2_proxy_same_time,0.7000000000000001,0.6008713779008741,0.13782367410824048,0.33956642990998875
unison__mix_30_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.8,0.6008575338671328,0.13933875019766528,0.3410538179319309
vestas__vestas_g12_avg_teacher,tree_group2_proxy_same_time,0.65,0.6008565821498847,0.13760500483161578,0.33931816913138513
unison__vestas_g2_teacher,tree_group2_transfer_group3_features,0.75,0.6007639459516059,0.13874536634204415,0.3402732582452558
vestas__vestas_g2_teacher,tree_group2_transfer_group3_features,0.7000000000000001,0.6007418705789642,0.13906149963049683,0.3405452407884252
unison__mix_30_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.8,0.6005245783073698,0.13946855145995454,0.3405177080746941
unison__mix_30_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.6000000000000001,0.6005007158366173,0.13770160716953214,0.3387030388427669
unison__vestas_g12_avg_teacher,tree_group2_transfer_group3_features,0.65,0.6004854495457257,0.13730522729685757,0.33827612638830906
unison__vestas_g12_avg_teacher,tree_group2_proxy_same_time,0.8500000000000001,0.6004830779395661,0.1391131289410183,0.34007928482015054
unison__mix_50_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.7000000000000001,0.6004330235997936,0.13880958027450643,0.3396756274740935
unison__mix_70_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.7000000000000001,0.6004207244475341,0.13942970917965547,0.34027115807472386
vestas__vestas_g2_teacher,tree_group2_transfer_group3_features,0.65,0.6003567282149919,0.13860821263608208,0.3393216690660659
unison__mix_50_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.8,0.6003536487142245,0.14006248248694206,0.3407697799153911
unison__mix_30_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.75,0.6003106781979705,0.13890307462590695,0.33952443102184793
unison__vestas_g12_avg_teacher,tree_group2_transfer_group3_features,0.6000000000000001,0.6002647497188788,0.13718041782714055,0.337709917264898
vestas__vestas_g12_avg_teacher,tree_group2_proxy_same_time,0.8,0.6002099328340781,0.13886213766153307,0.3392820033296892
vestas__vestas_g12_avg_teacher,tree_group2_transfer_group3_features,0.8500000000000001,0.6002000642292854,0.13944823948026167,0.33984836793883244
unison__vestas_g2_teacher,tree_group2_proxy_same_time,0.6000000000000001,0.6001757711609346,0.1380160487177874,0.3383675910396564
unison__mix_50_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.6000000000000001,0.6001600687900874,0.1381062520986206,0.33842638967879546
unison__mix_50_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.7000000000000001,0.6001522600662577,0.13904102607092048,0.3393455462034358
unison__mix_50_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.6000000000000001,0.6001518190357628,0.13844023315071924,0.33874387122224486
unison__mix_30_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.75,0.6001284849070058,0.13872474041604688,0.3389817102300584
vestas__vestas_g12_avg_teacher,tree_group2_proxy_same_time,0.8500000000000001,0.6000995109290133,0.13953649312317584,0.33973551498120236
vestas__vestas_g2_teacher,tree_group2_proxy_same_time,0.65,0.6000744861116541,0.13889698100187098,0.33904595322517933
unison__mix_50_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.8,0.6000514858145213,0.14019315258008164,0.34029612420912425
unison__vestas_g2_teacher,tree_group2_transfer_group3_features,0.8,0.6000421245319458,0.13937835011558677,0.33946259917947835
vestas__vestas_g12_avg_teacher,tree_group2_transfer_group3_features,0.75,0.6000144379912349,0.138138908663942,0.3381677846464118
unison__vestas_g12_avg_teacher,tree_group2_proxy_same_time,0.65,0.6000141764792284,0.13760293278298133,0.33763128574143797
unison__vestas_g12_avg_teacher,tree_group2_transfer_group3_features,0.8500000000000001,0.5999870006806308,0.13901175317024342,0.3389857545315051
unison__vestas_g12_avg_teacher,tree_group2_transfer_group3_features,0.55,0.5999430590452148,0.1371984025255068,0.33708452061593663
vestas__vestas_g12_avg_teacher,tree_group2_proxy_same_time,0.75,0.5999344359456966,0.13831260129104384,0.33818147318243713
unison__mix_30_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.65,0.5999002933961719,0.13818807970488464,0.3379886664972285
unison__mix_50_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.65,0.5998748332371784,0.1386625679584731,0.3384122344328299
vestas__vestas_g12_avg_teacher,tree_group2_transfer_group3_features,0.6000000000000001,0.5998520952892631,0.13713331358024358,0.33683750415876984
unison__mix_30_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.8500000000000001,0.5998143671948007,0.14017320137643688,0.3398019357660383
unison__unison_g3_teacher,tree_group2_transfer_group3_features,0.65,0.5998141695320988,0.13886524898404282,0.3384935880482404
unison__mix_50_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.75,0.5998084964399371,0.1393658839610202,0.33898287684089434
unison__mix_30_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.55,0.5997792559884646,0.13762610632992175,0.33718461830685104
unison__vestas_g12_avg_teacher,tree_group2_proxy_same_time,0.6000000000000001,0.5997648810731963,0.13753780335649674,0.33706756550288924
unison__mix_70_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.65,0.5997492709858567,0.13888623743109865,0.3383847794028121
unison__mix_70_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.55,0.599706873577334,0.13830200324507252,0.33771575039974056
unison__vestas_g2_teacher,tree_group2_proxy_same_time,0.8,0.599677484748667,0.13950914351359914,0.33886411301093305
unison__unison_g3_teacher,tree_group2_transfer_group3_features,0.55,0.5996451171045334,0.13800560377228077,0.3372958379813476
unison__mix_50_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.8500000000000001,0.5996209271328097,0.14098644921168424,0.3402283034773036
vestas__vestas_g2_teacher,tree_group2_transfer_group3_features,0.55,0.5996134947308538,0.13813231379033622,0.33735930325204383
unison__vestas_g2_teacher,tree_group2_proxy_same_time,0.55,0.5996066253675177,0.13797665632375972,0.3371899070587952
unison__mix_30_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.6000000000000001,0.5995948811669125,0.13804556594474135,0.33723532827856634
unison__mix_50_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.75,0.5995711733457496,0.13954109259771796,0.33868343928921724
unison__mix_30_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.8500000000000001,0.5995691959747923,0.14008605713768782,0.3392244490872724
unison__mix_50_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.5,0.5995537200233543,0.13800243554701944,0.33710987559372796
unison__unison_g3_teacher,tree_group2_transfer_group3_features,0.5,0.5994928380098556,0.1378150399911197,0.33680071601083084
unison__vestas_g12_avg_teacher,tree_group2_proxy_same_time,0.9,0.5994849540835896,0.13974308602144636,0.3387129941886256
unison__mix_70_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.6000000000000001,0.5994745662388208,0.13850886835700615,0.3374580008346478
unison__mix_50_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.55,0.5994603992393838,0.13839323903385978,0.3373140375126273
unison__vestas_g12_avg_teacher,tree_group2_transfer_group3_features,0.9,0.5994420951966883,0.13968001834518393,0.33856420873856075
unison__mix_30_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.5,0.5994111160905582,0.13767764642247052,0.33649987860358693
vestas__vestas_g2_teacher,tree_group2_transfer_group3_features,0.75,0.599308892936857,0.13966394058216522,0.3382817264558792
unison__mix_70_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.7000000000000001,0.5992652694673258,0.13964144539676607,0.33817198433141765
unison__unison_g3_teacher,tree_group2_transfer_group3_features,0.6000000000000001,0.5992329301511602,0.13835523308328035,0.3368210933856008
unison__unison_g3_teacher,tree_group2_proxy_same_time,0.6000000000000001,0.5992323395642317,0.13865359628161092,0.3371182754100743
unison__unison_g3_teacher,tree_group2_proxy_same_time,0.65,0.599223491604428,0.13911173761992904,0.337558720828785
vestas__vestas_g12_avg_teacher,tree_group2_transfer_group3_features,0.55,0.5992024948723633,0.1370833344834707,0.33548832422819735
vestas__vestas_g2_teacher,tree_group2_transfer_group3_features,0.6000000000000001,0.5991694203343907,0.13830235700453722,0.33664119767331846
unison__mix_70_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.5,0.5991220550113516,0.13822986908037838,0.3364739791030815
unison__mix_70_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.6000000000000001,0.5990944109025356,0.13884389996042523,0.33703272176549637
unison__mix_70_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.65,0.5990425149249577,0.13915270944696398,0.33723773929687956
unison__mix_70_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.55,0.599027472018595,0.1386872844457819,0.3367422284829718
unison__mix_70_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.75,0.599025610426927,0.1401092527151206,0.3381604735689748
vestas__vestas_g12_avg_teacher,tree_group2_proxy_same_time,0.6000000000000001,0.5990135060677588,0.13747406735939532,0.33550107949491303
unison__mix_50_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.8500000000000001,0.5990127894428443,0.14090238798121044,0.3389279668668992
unison__mix_30_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.9,0.5989049448282866,0.140962369854244,0.33877225951081724
unison__mix_70_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.75,0.5988876989945555,0.14027525587923953,0.3380506538683504
unison__unison_g3_teacher,tree_group2_transfer_group3_features,0.75,0.5988064002968083,0.14038846555015733,0.33800126614377385
unison__unison_g3_teacher,tree_group2_proxy_same_time,0.75,0.5987915561011462,0.14051801830162458,0.33810113050391705
