variant,mean_score,mean_nmae,mean_ficr,worst_year_score,std_year_score
share_a025_fixed_50_15_35,0.643950823930676,0.1278695274859647,0.41577117534731683,0.6317719182798734,0.00865876645296498
share_a000_fixed_50_15_35,0.643869918230309,0.12706527888932198,0.41480511534993997,0.6312466297985355,0.008949712262165371
share_a050_fixed_50_15_35,0.6435066333927563,0.1284852183183893,0.4154984851039019,0.6328754466642127,0.007894876766675583
dynamic_fixed_50_15_35,0.6415477957816117,0.1304070592161182,0.41350265077934156,0.6323809715308313,0.0074585011753831865
share_a050_tcn,0.6413816306489074,0.12745381977346662,0.4102170810712815,0.6266886976114857,0.011004812317648813
share_a025_tcn,0.6411531947232417,0.12624317712279118,0.4085495665692746,0.6229600124855396,0.012904640145296525
dynamic_tcn,0.6360490135549592,0.13266402316200435,0.40476205027192286,0.6247133460809461,0.009614800701145065
share_a000_tcn,0.6357430057129103,0.12511635630655674,0.3966023677323775,0.6199132907871289,0.011266728256777136
