group,trial,mean_score,mean_nmae,mean_ficr,worst_fold,std_score,min_output_ratio,weight_policy,random_state,n_jobs,verbose,objective,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,min_split_gain
kpx_group_1,8,0.6225943053910984,0.12468166684398034,0.3698702776261771,0.6047121027329907,0.01275414179262998,0.1,actual_sqrt,20260709008,-1,-1,regression_l1,1646,0.020399159375836157,128,6,80,0.8184083163781046,0.7571670023772495,0.008184013191028251,1.813990070982558,0.02655337838810678
kpx_group_2,12,0.6477819197388658,0.12364831846193171,0.4192121579396632,0.6375228693236688,0.01409041067551936,0.1,actual_sqrt,20260709012,-1,-1,regression_l1,1147,0.014499159124515484,48,6,160,0.943821936628322,0.7670068381899596,0.03338729706910501,3.1545764871314517,0.05273144581319895
kpx_group_3,10,0.582761528479287,0.1431015015940748,0.3086245585526487,0.5776430862801756,0.005118442199111395,0.1,actual_sqrt,20260709010,-1,-1,regression_l1,1309,0.025977824569495742,64,4,80,0.7483047257974422,0.6741920875741323,0.0011754613944447861,2.8931055157305883,0.04064957743020335
