group,trial,mean_score,mean_nmae,mean_ficr,worst_fold,std_score,min_output_ratio,weight_policy,random_state,n_jobs,verbose,objective,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,min_split_gain
kpx_group_1,19,0.603308547630505,0.13334693623529606,0.339964031496306,0.5819733139583476,0.016529601029639303,0.0,none,20260708019,-1,-1,regression_l1,562,0.030364352159781026,16,10,80,0.9295683231231087,0.8227817206017118,0.26445202395115064,0.012231352325403169,0.029584530300409126
kpx_group_1,1,0.47818816240285605,0.23416103234446237,0.1905373571501743,0.45943549907064785,0.02105720698091201,0.15,actual_sqrt,20260708001,-1,-1,huber,1181,0.04893193879777676,32,4,40,0.8977284665247643,0.5883774064978761,0.09533261785107655,0.10742351567892242,3.15548789853951e-05
kpx_group_1,6,0.471134156321418,0.2299608203223162,0.1722291329651521,0.4543704308995815,0.019546869621072733,0.1,actual_sqrt,20260708006,-1,-1,huber,933,0.015811024605232902,48,7,20,0.7491742967359039,0.6466735665895897,0.00043094929020590783,0.017568690629272753,0.012589534680493647
kpx_group_1,8,0.4628259902881006,0.22649547606906686,0.1521474566452681,0.4494873180013716,0.016858596427606874,0.1,none,20260708008,-1,-1,huber,881,0.04996810278085404,64,4,20,0.6273498937799992,0.9670304451863849,0.000777928993418619,12.99956095181628,0.016006021915630626
kpx_group_1,11,0.46276173825375916,0.22645060631553993,0.15197408282305813,0.44944123717164974,0.01671491988395851,0.1,none,20260708011,-1,-1,huber,1699,0.026186381104470732,24,6,60,0.6002495303676951,0.7419070063013177,0.018667221704975086,0.015998835304989554,0.00032353518097577794
kpx_group_1,0,0.46246185897429815,0.22684319805644795,0.15176691600504422,0.4492267825677486,0.0166182843078527,0.1,metric_x2,20260708000,-1,-1,huber,587,0.04084468889763221,32,6,40,0.9105480742251946,0.7972809642609335,0.0003267022197156719,5.910793467329622,0.01846246482169325
kpx_group_1,13,0.4624175213814063,0.22689466719249787,0.15172970995531052,0.44921580477600936,0.01658145071192053,0.1,metric_x2,20260708013,-1,-1,huber,1716,0.012411256946844368,48,7,220,0.9878268995857663,0.8945241433228319,0.0006227346537492587,0.08327666333357683,0.000456268953574922
kpx_group_1,5,0.46054366361955834,0.22664421886652888,0.14773154610564565,0.4470227871089818,0.016632657574849045,0.03,actual_sqrt,20260708005,-1,-1,huber,1619,0.01891737034480249,64,10,40,0.9472813915690839,0.8300043622227089,4.0510096596642216,0.38317106426463504,0.00031267391583672104
kpx_group_1,15,0.4600768069840693,0.22649474464260824,0.1466483586107468,0.4465487849827647,0.01670363148987042,0.05,metric_x2,20260708015,-1,-1,huber,1150,0.03561590512027744,16,5,80,0.7598632459762218,0.7090556444130056,0.0006250944692777601,0.030420525328881894,0.02074929982269464
kpx_group_1,2,0.42744958080967854,0.2559526690037194,0.11085183062307653,0.41794334460778876,0.011019134647717971,0.0,none,20260708002,-1,-1,huber,1287,0.027300030702336824,16,6,220,0.9006793534364514,0.712330882667724,0.0039030854086180193,0.009599714518396184,0.004891415013000463
kpx_group_2,13,0.6454004615285448,0.12383229308141426,0.4146332161385038,0.6325674328249801,0.017354108390645457,0.1,actual_sqrt,20260708013,-1,-1,regression_l1,1706,0.03131947754190006,24,7,40,0.7553632593045145,0.8682797283527703,2.559238009208434,0.05041372534049484,0.0004990947391891325
kpx_group_2,8,0.6443685321969369,0.12543163346852537,0.414168697862399,0.6350480939906913,0.011944563288963757,0.03,actual_sqrt,20260708008,-1,-1,regression_l1,712,0.018462288822834447,16,8,300,0.8447863307554317,0.7191024580181484,2.7780904365696286,2.1012786440683704,0.36150288608864073
kpx_group_2,10,0.6393591921614598,0.12397884180623307,0.40269722612915265,0.626578061320375,0.01778594589233183,0.05,metric_x2,20260708010,-1,-1,regression_l1,1750,0.0492588580723325,128,7,160,0.9735407051589782,0.8517985352797569,0.0005782907321139308,15.51055682017964,2.188270096458609e-05
kpx_group_2,18,0.6350333797447649,0.12605204552338298,0.396118805012913,0.6227204558325035,0.015398679980092804,0.03,none,20260708018,-1,-1,regression_l1,538,0.019247004444134148,64,6,300,0.7794033325506071,0.5894339551536681,0.23229124189636757,0.0687972436345438,0.29718740554482825
kpx_group_2,7,0.6342925698517471,0.12504275955886326,0.39362789926235725,0.6180656656268546,0.019456543853213083,0.05,metric_x2,20260708007,-1,-1,regression_l1,770,0.04940535650090239,48,8,60,0.7566934328856366,0.9649604866297441,0.0006198189581200961,0.26349351831931533,0.015297402667653306
kpx_group_2,2,0.6303694149587482,0.12669055706762253,0.38742938698511903,0.613193051278705,0.021317808261536144,0.03,none,20260708002,-1,-1,regression_l1,1476,0.018816471884811573,64,8,80,0.7180973779692639,0.7655667627955323,0.00012270695461551152,0.08070530462101791,0.12825228475936412
kpx_group_2,1,0.6296729146343093,0.1272131564263982,0.38655898569501684,0.610281114124402,0.021698551554930234,0.03,actual_sqrt,20260708001,-1,-1,regression,507,0.03691267173266065,16,5,20,0.8045678646716257,0.786289302984471,0.005825706384061666,0.008798093515009278,0.012379833478499911
kpx_group_2,6,0.6284946036059895,0.12583187801340573,0.38282108522538477,0.6071496498279303,0.024249061786548974,0.05,none,20260708006,-1,-1,regression,1272,0.013343304221249287,48,7,40,0.6719563034847084,0.6239190885774084,0.06290467478838395,0.0024419452956662498,0.07260464074236933
kpx_group_2,16,0.6272211435482017,0.1298066222770746,0.384248909373478,0.6103084571440763,0.02036001583017474,0.15,metric_x2,20260708016,-1,-1,regression,654,0.013918293414322528,24,6,40,0.6546083733902204,0.9739588618043191,0.005285516991710443,3.1053036685390794,2.3853536639198126e-05
kpx_group_2,3,0.6270138093164546,0.126989906821368,0.3810175254542769,0.6097280445745237,0.02174442327729195,0.03,metric_x2,20260708003,-1,-1,regression,1626,0.025115737610564452,64,4,160,0.8192424470009061,0.5652368208324232,0.005986600362272668,0.012447797537196291,3.6069078455744203e-05
kpx_group_2,0,0.6264349288693648,0.12986700154111655,0.3827368592798462,0.6127795954633176,0.016742420367776827,0.15,metric_x2,20260708000,-1,-1,regression,623,0.03182172250715513,32,-1,220,0.8922889533636083,0.6749854973557431,0.0003807927768131218,1.1833355940144765,0.04188777196612534
kpx_group_2,19,0.6197064067294488,0.129186398250278,0.3685992117091754,0.6000609355374615,0.02082004977784172,0.0,metric_x2,20260708019,-1,-1,regression,663,0.03163743260475417,48,7,220,0.9921500571198173,0.7068260876189205,0.05442357142569586,0.052254603591617814,0.00030185300196802593
kpx_group_2,14,0.6171266997995318,0.13025297099196223,0.3645063705910258,0.5956779214989204,0.02291346809164225,0.03,none,20260708014,-1,-1,regression,1030,0.06883343059075364,96,7,120,0.6593866500869566,0.9748611106552012,0.0020557299220166888,4.1579862448424985,0.002839112641614155
kpx_group_2,5,0.45716141082953093,0.24013938201481058,0.15446220367387242,0.45388999988704376,0.002504683185589064,0.15,none,20260708005,-1,-1,huber,1699,0.06935334352940849,128,10,60,0.7190870999969967,0.5560715502532223,1.4577828704749247,0.04064053454980526,0.0004741294718046255
kpx_group_2,15,0.4563025836882841,0.24183556853401159,0.15444073591057964,0.4530126821969105,0.0025527941389757807,0.1,actual_sqrt,20260708015,-1,-1,huber,656,0.0708206297025067,48,10,40,0.8240182998830704,0.9706268834940401,0.00024994703050150566,38.73637800870683,0.2306096236139923
kpx_group_2,11,0.4486729819616049,0.24059981369219108,0.1379457776154008,0.4432215512549113,0.0043153432969043354,0.1,metric_x2,20260708011,-1,-1,huber,1440,0.021613963977963422,16,-1,20,0.800140805342266,0.6108156825176428,0.0008352407291074973,48.59071002557399,0.030650874782063967
kpx_group_2,4,0.44734079278378097,0.239854467764656,0.13453605333221794,0.4410288568750743,0.004897774388687377,0.03,actual_sqrt,20260708004,-1,-1,huber,1664,0.04993217888292129,96,5,220,0.858955158927444,0.7332785567575387,0.05313772772964361,0.00875766405184692,0.2257663201849246
