trial,min_output_ratio,weight_policy,random_state,n_jobs,verbose,objective,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,min_split_gain,group,pred_year,train_years,score,nmae,ficr,n_train,n_val
0,0.15,actual_sqrt,20260709000,-1,-1,regression_l1,963,0.029720979754667556,64,8,80,0.783858002867216,0.6945734283672265,0.018902520992412696,8.234040560490481,0.004509141707269352,kpx_group_1,2022,"2023,2024",0.6299512517298653,0.1317006032017223,0.3916031066614529,9397,8664
0,0.15,actual_sqrt,20260709000,-1,-1,regression_l1,963,0.029720979754667556,64,8,80,0.783858002867216,0.6945734283672265,0.018902520992412696,8.234040560490481,0.004509141707269352,kpx_group_1,2023,"2022,2024",0.5969624863625167,0.13405778519450884,0.3279827579195422,9313,8757
0,0.15,actual_sqrt,20260709000,-1,-1,regression_l1,963,0.029720979754667556,64,8,80,0.783858002867216,0.6945734283672265,0.018902520992412696,8.234040560490481,0.004509141707269352,kpx_group_1,2024,"2022,2023",0.6254974534712263,0.1197664652090164,0.370761372151469,9784,8778
1,0.1,metric_x2,20260709001,-1,-1,regression_l1,1761,0.021192439483362826,24,10,300,0.9051102471009851,0.850264228328493,0.10137742348398668,18.496357965374415,0.008801889951283047,kpx_group_1,2022,"2023,2024",0.6313407286917924,0.12537887488255486,0.38806033226613956,10498,8664
1,0.1,metric_x2,20260709001,-1,-1,regression_l1,1761,0.021192439483362826,24,10,300,0.9051102471009851,0.850264228328493,0.10137742348398668,18.496357965374415,0.008801889951283047,kpx_group_1,2023,"2022,2024",0.6004026675989237,0.1299521719225266,0.330757507120374,10405,8757
1,0.1,metric_x2,20260709001,-1,-1,regression_l1,1761,0.021192439483362826,24,10,300,0.9051102471009851,0.850264228328493,0.10137742348398668,18.496357965374415,0.008801889951283047,kpx_group_1,2024,"2022,2023",0.6252326122541036,0.11603845921455404,0.3665036837227613,10925,8778
2,0.1,actual_sqrt,20260709002,-1,-1,regression_l1,1234,0.0173072951164432,96,4,40,0.7874838489116258,0.801352555295243,0.09324704634135494,2.984746202314795,0.13570195694111617,kpx_group_1,2022,"2023,2024",0.6328953866394201,0.1294608073371257,0.39525158061596594,10498,8664
2,0.1,actual_sqrt,20260709002,-1,-1,regression_l1,1234,0.0173072951164432,96,4,40,0.7874838489116258,0.801352555295243,0.09324704634135494,2.984746202314795,0.13570195694111617,kpx_group_1,2023,"2022,2024",0.6022649161257156,0.13111309638230395,0.33564292863373535,10405,8757
2,0.1,actual_sqrt,20260709002,-1,-1,regression_l1,1234,0.0173072951164432,96,4,40,0.7874838489116258,0.801352555295243,0.09324704634135494,2.984746202314795,0.13570195694111617,kpx_group_1,2024,"2022,2023",0.6311539911795466,0.11624230636717513,0.37855028872626834,10925,8778
3,0.1,metric_x2,20260709003,-1,-1,regression_l1,901,0.0368326777103251,32,6,40,0.798407944359051,0.8824288627545793,0.01012645823992192,3.402073162176522,0.00015763314220248952,kpx_group_1,2022,"2023,2024",0.6297342560341048,0.1251392980006938,0.38460781006890343,10498,8664
3,0.1,metric_x2,20260709003,-1,-1,regression_l1,901,0.0368326777103251,32,6,40,0.798407944359051,0.8824288627545793,0.01012645823992192,3.402073162176522,0.00015763314220248952,kpx_group_1,2023,"2022,2024",0.5956330518379191,0.13084077212065512,0.32210687579649333,10405,8757
3,0.1,metric_x2,20260709003,-1,-1,regression_l1,901,0.0368326777103251,32,6,40,0.798407944359051,0.8824288627545793,0.01012645823992192,3.402073162176522,0.00015763314220248952,kpx_group_1,2024,"2022,2023",0.6270364739654547,0.11681007424008676,0.3708830221709961,10925,8778
4,0.03,metric_x2,20260709004,-1,-1,regression_l1,1512,0.04440218963927715,24,6,60,0.8803670728835343,0.7666257960416873,0.00014812918358505893,0.021760406266618217,0.011626401181452885,kpx_group_1,2022,"2023,2024",0.6272406742987665,0.1257066703222154,0.38018801891974835,12760,8664
4,0.03,metric_x2,20260709004,-1,-1,regression_l1,1512,0.04440218963927715,24,6,60,0.8803670728835343,0.7666257960416873,0.00014812918358505893,0.021760406266618217,0.011626401181452885,kpx_group_1,2023,"2022,2024",0.5917321568933416,0.1330734853941323,0.31653779918081537,12674,8757
4,0.03,metric_x2,20260709004,-1,-1,regression_l1,1512,0.04440218963927715,24,6,60,0.8803670728835343,0.7666257960416873,0.00014812918358505893,0.021760406266618217,0.011626401181452885,kpx_group_1,2024,"2022,2023",0.6204594720254506,0.11788198327219516,0.3588009273230963,13270,8778
5,0.15,actual_sqrt,20260709005,-1,-1,regression_l1,1959,0.041622542243086966,96,8,60,0.8461221897055181,0.6261273807423365,0.1474083092424525,0.017385017619491534,1.4785778941705306e-05,kpx_group_1,2022,"2023,2024",0.6286131348943407,0.130472265236801,0.3876985350254824,9397,8664
5,0.15,actual_sqrt,20260709005,-1,-1,regression_l1,1959,0.041622542243086966,96,8,60,0.8461221897055181,0.6261273807423365,0.1474083092424525,0.017385017619491534,1.4785778941705306e-05,kpx_group_1,2023,"2022,2024",0.5957264584782849,0.1344551632364333,0.325908080193003,9313,8757
5,0.15,actual_sqrt,20260709005,-1,-1,regression_l1,1959,0.041622542243086966,96,8,60,0.8461221897055181,0.6261273807423365,0.1474083092424525,0.017385017619491534,1.4785778941705306e-05,kpx_group_1,2024,"2022,2023",0.6244434367834703,0.12024338759503841,0.3691302611619789,9784,8778
6,0.15,metric_x2,20260709006,-1,-1,regression_l1,1955,0.021019732608518298,128,7,80,0.7086659588651829,0.6982455995061411,0.10660058719814905,7.974052522158808,1.0692625012681247e-05,kpx_group_1,2022,"2023,2024",0.6296000790760743,0.12771798834592693,0.38691814649807565,9397,8664
6,0.15,metric_x2,20260709006,-1,-1,regression_l1,1955,0.021019732608518298,128,7,80,0.7086659588651829,0.6982455995061411,0.10660058719814905,7.974052522158808,1.0692625012681247e-05,kpx_group_1,2023,"2022,2024",0.5930800531827387,0.133221695235456,0.3193818016009334,9313,8757
6,0.15,metric_x2,20260709006,-1,-1,regression_l1,1955,0.021019732608518298,128,7,80,0.7086659588651829,0.6982455995061411,0.10660058719814905,7.974052522158808,1.0692625012681247e-05,kpx_group_1,2024,"2022,2023",0.6183022547840551,0.11968042506696834,0.3562849346350785,9784,8778
7,0.15,none,20260709007,-1,-1,regression_l1,1462,0.016974067587297817,24,10,80,0.8498256498743365,0.6225630512398929,0.002984137199005847,1.6350161345067722,0.011319956829133823,kpx_group_1,2022,"2023,2024",0.6294905825513522,0.1282905621979741,0.38727172730067827,9397,8664
7,0.15,none,20260709007,-1,-1,regression_l1,1462,0.016974067587297817,24,10,80,0.8498256498743365,0.6225630512398929,0.002984137199005847,1.6350161345067722,0.011319956829133823,kpx_group_1,2023,"2022,2024",0.5969457591997098,0.13282552925670751,0.3267170476561273,9313,8757
