experiment,group,tree_candidate,base_weight,score,nmae,ficr
global_blend_own_tree_calibrated,kpx_group_2,own_tree_calibrated,0.35000000000000003,0.6499823251343961,0.12498824512699401,0.4249528953957862
global_blend_own_tree_calibrated,kpx_group_2,own_tree_calibrated,0.30000000000000004,0.6494608073746762,0.12525991912584045,0.4241815338751927
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_calibrated,0.30000000000000004,0.6494608073746762,0.12525991912584045,0.4241815338751927
global_blend_own_tree_raw,kpx_group_2,own_tree_raw,0.5,0.6491735256068654,0.12330878801232144,0.4216558392260522
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_raw,0.5,0.6491735256068654,0.12330878801232144,0.4216558392260522
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_raw,0.45,0.6483533793768703,0.12328155337591366,0.41998831212965426
global_blend_own_tree_raw,kpx_group_2,own_tree_raw,0.45,0.6483533793768703,0.12328155337591366,0.41998831212965426
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_calibrated,0.25,0.6480263815764088,0.12559940734001762,0.4216521704928352
global_blend_own_tree_calibrated,kpx_group_2,own_tree_calibrated,0.25,0.6480263815764088,0.12559940734001762,0.4216521704928352
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_raw,0.4,0.6466802331215765,0.1233193903832301,0.4166798566263831
global_blend_own_tree_raw,kpx_group_2,own_tree_raw,0.4,0.6466802331215765,0.1233193903832301,0.4166798566263831
global_blend_own_tree_raw,kpx_group_2,own_tree_raw,0.35000000000000003,0.6464524653189929,0.12343327060424292,0.4163382012422288
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_raw,0.35000000000000003,0.6464524653189929,0.12343327060424292,0.4163382012422288
global_blend_own_tree_calibrated,kpx_group_2,own_tree_calibrated,0.2,0.6461278511133737,0.12600310667394715,0.4182588089006944
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_calibrated,0.2,0.6461278511133737,0.12600310667394715,0.4182588089006944
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_raw,0.30000000000000004,0.6448313970343263,0.12363562435986909,0.4132984184285218
global_blend_own_tree_raw,kpx_group_2,own_tree_raw,0.30000000000000004,0.6448313970343263,0.12363562435986909,0.4132984184285218
global_blend_own_tree_calibrated,kpx_group_2,own_tree_calibrated,0.15000000000000002,0.6442190633402318,0.1264596845157568,0.4148978111962205
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_calibrated,0.15000000000000002,0.6442190633402318,0.1264596845157568,0.4148978111962205
global_blend_own_tree_calibrated,kpx_group_2,own_tree_calibrated,0.1,0.6428406524761152,0.12697219419107025,0.4126534991433005
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_calibrated,0.1,0.6428406524761152,0.12697219419107025,0.4126534991433005
global_blend_own_tree_raw,kpx_group_2,own_tree_raw,0.25,0.6409841716684537,0.12390393550451069,0.4058722788414181
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_raw,0.25,0.6409841716684537,0.12390393550451069,0.4058722788414181
global_blend_own_tree_calibrated,kpx_group_2,own_tree_calibrated,0.05,0.6397254226299426,0.12754512941408847,0.4069959746739736
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_calibrated,0.05,0.6397254226299426,0.12754512941408847,0.4069959746739736
global_blend_own_tree_raw,kpx_group_2,own_tree_raw,0.2,0.6389648217014483,0.12422891051015536,0.402158553913052
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_raw,0.2,0.6389648217014483,0.12422891051015536,0.402158553913052
global_blend_own_tree_calibrated,kpx_group_2,own_tree_calibrated,0.0,0.6376569598880236,0.12817017856381585,0.40348409833986315
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_calibrated,0.0,0.6376569598880236,0.12817017856381585,0.40348409833986315
global_blend_own_tree_raw,kpx_group_2,own_tree_raw,0.15000000000000002,0.636958162741016,0.12462533312622427,0.39854165860825624
groupwise_extra_tree_kpx_group_2,kpx_group_2,own_tree_raw,0.15000000000000002,0.636958162741016,0.12462533312622427,0.39854165860825624
groupwise_extra_tree_kpx_group_1,kpx_group_1,own_tree_raw,1.0,0.6357359126586912,0.11819328476289118,0.3896651100802736
current_best,kpx_group_1,none,1.0,0.6357359126586912,0.11819328476289118,0.3896651100802736
global_blend_own_tree_calibrated,kpx_group_1,own_tree_calibrated,1.0,0.6357359126586912,0.11819328476289118,0.3896651100802736
global_blend_own_tree_raw,kpx_group_1,own_tree_raw,1.0,0.6357359126586912,0.11819328476289118,0.3896651100802736
groupwise_extra_tree_kpx_group_1,kpx_group_1,own_tree_calibrated,1.0,0.6357359126586912,0.11819328476289118,0.3896651100802736
global_blend_own_tree_raw,kpx_group_2,own_tree_raw,0.1,0.6346253239390103,0.12508298289848768,0.39433363077650807
