fold,fold_type,val_start,val_end,spatial_mode,group,score,nmae,ficr,n
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,none,kpx_group_1,0.6089113938650095,0.12458145424793178,0.3424042419779507,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,none,kpx_group_2,0.636071698197416,0.12562532866914367,0.3977687250639757,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,none,kpx_group_3,0.5649632406728429,0.1459605538007753,0.27588703514646096,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,none,mean,0.6033154442450895,,,
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,nearest,kpx_group_1,0.6065912503207795,0.12404630406199986,0.33722880470355904,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,nearest,kpx_group_2,0.6381407423077319,0.1241279776054025,0.4004094622208662,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,nearest,kpx_group_3,0.5572187635312424,0.14930198854214963,0.26373951560463443,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,nearest,mean,0.6006502520532513,,,
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,weighted,kpx_group_1,0.6063634683192106,0.1244125038269083,0.3371394404653295,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,weighted,kpx_group_2,0.6359749840925364,0.12561009494237163,0.39756006312744435,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,weighted,kpx_group_3,0.5632732117231338,0.14723607136528152,0.27378249481154915,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,weighted,mean,0.6018705547116269,,,
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,upwind,kpx_group_1,0.6096526902461378,0.12404072708709418,0.34334610757936984,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,upwind,kpx_group_2,0.6322955027461815,0.12551710564887403,0.39010811114123706,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,upwind,kpx_group_3,0.5601675543319671,0.14786991505216104,0.2682050237160952,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,upwind,mean,0.6007052491080954,,,
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,ldaps,kpx_group_1,0.6088633873233023,0.12404301488216195,0.3417697895287664,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,ldaps,kpx_group_2,0.637151922652259,0.1253589543594262,0.39966279966394413,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,ldaps,kpx_group_3,0.555000369620023,0.1503714653131461,0.26037220455319193,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,ldaps,mean,0.6003385598651947,,,
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,gfs,kpx_group_1,0.6110111555889925,0.12455797207420465,0.3465802832521896,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,gfs,kpx_group_2,0.6369099988916923,0.12432805309435414,0.39814805087773875,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,gfs,kpx_group_3,0.563217891472066,0.14880991145249606,0.27524569439662805,8778.0
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,gfs,mean,0.6037130153175837,,,
year_2024,yearly,2024-01-01 01:00:00,2025-01-01 01:00:00,all,kpx_group_1,0.6059311535377658,0.12413792499466848,0.3360002320702002,8778.0
