variant,group,pred_year,train_years,score,nmae,ficr,n_rows,n_features,window,weather_source,target_share_alpha
baseline_retrained,kpx_group_1,2022,"2023,2024",0.6277244588929906,0.12967739832769748,0.3851263161136787,8664,75,72,mixed,0.5
baseline_retrained,kpx_group_1,2023,"2022,2024",0.6405929917068356,0.1278034475461168,0.4089894309597879,8757,75,72,mixed,0.5
baseline_retrained,kpx_group_1,2024,"2022,2023",0.6693624939021557,0.11195946471781466,0.4506844525221262,8778,75,72,mixed,0.5
baseline_retrained,kpx_group_2,2022,"2023,2024",0.6608441869228433,0.12201738750500983,0.44370576135069634,8664,75,72,mixed,0.5
baseline_retrained,kpx_group_2,2023,"2022,2024",0.6510057445320515,0.13134466737963302,0.4333561564437361,8758,75,72,mixed,0.5
baseline_retrained,kpx_group_2,2024,"2022,2023",0.6841065852144049,0.11672977249483502,0.484942942923645,8778,75,72,mixed,0.5
baseline_retrained,kpx_group_3,2023,"2022,2024",0.588467356525108,0.15233553894975882,0.3292702519999748,8759,75,72,mixed,0.5
baseline_retrained,kpx_group_3,2024,"2022,2023",0.6060465352574702,0.12936930808076086,0.3414623785957014,8778,75,72,mixed,0.5
