fold,fold_type,val_start,val_end,feature_block,variant,group,score,nmae,ficr,n
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,baseline,raw,kpx_group_1,0.5847255070175362,0.12543906751919817,0.2948900815542706,2184
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,baseline,pooled_isotonic,kpx_group_1,0.5878472680569036,0.12668794068836806,0.30238247680217517,2184
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,baseline,raw,kpx_group_2,0.6358925820908882,0.11618764865796218,0.38797281283973856,2184
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,baseline,pooled_isotonic,kpx_group_2,0.6357496068270495,0.11857086909130796,0.39007008274540694,2184
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,baseline,raw,kpx_group_3,0.5669177870771289,0.13699641706675061,0.2708319912210083,2184
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,baseline,pooled_isotonic,kpx_group_3,0.5632362282794801,0.13808094389849082,0.2645534004574509,2184
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,all_meteo,raw,kpx_group_1,0.6033059690620391,0.12203615277416219,0.3286480908982406,2184
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,all_meteo,pooled_isotonic,kpx_group_1,0.6059018966426992,0.1229544415608867,0.33475823484628514,2184
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,all_meteo,raw,kpx_group_2,0.6470907230446856,0.11344794343443082,0.4076293895238021,2184
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,all_meteo,pooled_isotonic,kpx_group_2,0.6433303203639885,0.11574872080267376,0.4024093615306507,2184
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,all_meteo,raw,kpx_group_3,0.5656750129661964,0.13646572450162614,0.26781575043401884,2184
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,all_meteo,pooled_isotonic,kpx_group_3,0.5641917709321307,0.13757534032238591,0.2659588821866472,2184
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,baseline,raw,kpx_group_1,0.5921836494686676,0.12738787951557412,0.3117551784529094,2202
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,baseline,pooled_isotonic,kpx_group_1,0.592669780002519,0.12912207998268693,0.314461639987725,2202
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,baseline,raw,kpx_group_2,0.6658477198058148,0.1119689078200679,0.44366434743169736,2202
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,baseline,pooled_isotonic,kpx_group_2,0.6541870873429398,0.11571892383219207,0.42409309851807164,2202
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,baseline,raw,kpx_group_3,0.544106759823209,0.1447185699485551,0.23293208959497314,2202
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,baseline,pooled_isotonic,kpx_group_3,0.54589703799014,0.1446479586947779,0.23644203467505778,2202
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,all_meteo,raw,kpx_group_1,0.5892561630587158,0.1286245438236262,0.3071368699410577,2202
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,all_meteo,pooled_isotonic,kpx_group_1,0.59557530247299,0.12961573813623406,0.32076634308221397,2202
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,all_meteo,raw,kpx_group_2,0.671437980370202,0.11012663303264004,0.45300259377304386,2202
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,all_meteo,pooled_isotonic,kpx_group_2,0.6538149048466955,0.11495938996033854,0.4225891996537293,2202
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,all_meteo,raw,kpx_group_3,0.5560294360877946,0.14061811812514716,0.25267699030073637,2202
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,all_meteo,pooled_isotonic,kpx_group_3,0.5647210831022749,0.14017972642933113,0.2696218926338809,2202
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,baseline,raw,kpx_group_1,0.625805165375576,0.12055491764131396,0.37216524839246584,2208
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,baseline,pooled_isotonic,kpx_group_1,0.6362359411039213,0.12141859888734408,0.3938904810951868,2208
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,baseline,raw,kpx_group_2,0.6213080408510958,0.1232245455356685,0.36584062723786004,2208
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,baseline,pooled_isotonic,kpx_group_2,0.6346576676979097,0.12358783599367781,0.39290317138949726,2208
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,baseline,raw,kpx_group_3,0.5933982392256438,0.13666538620723484,0.32346186465852256,2208
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,baseline,pooled_isotonic,kpx_group_3,0.5782050518727282,0.1401354458310959,0.2965455495765522,2208
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,all_meteo,raw,kpx_group_1,0.633800123482292,0.11504535969659448,0.3826456066611784,2208
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,all_meteo,pooled_isotonic,kpx_group_1,0.6478018546432436,0.1139426073013952,0.4095463165878823,2208
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,all_meteo,raw,kpx_group_2,0.6194442690694076,0.12224226665974727,0.3611308047985626,2208
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,all_meteo,pooled_isotonic,kpx_group_2,0.6347455079016828,0.12114449479836036,0.39063551060172597,2208
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,all_meteo,raw,kpx_group_3,0.5957124955998758,0.13760416582309665,0.3290291570228483,2208
q2024_4,quarter,2024-10-01 01:00:00,2025-01-01 01:00:00,all_meteo,pooled_isotonic,kpx_group_3,0.5880871399545693,0.14144880602043183,0.31762308592957045,2208
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,all_meteo,pooled_isotonic,mean,0.5877063178818156,0.14954642784334848,0.32495906360697974,6552
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,all_meteo,raw,mean,0.5728672455555374,0.150712929872604,0.2964474209836787,6552
