fold_type,feature_block,variant,mean_score,worst_fold,std_score,n_folds
quarter,all_meteo,pooled_isotonic,0.6051073945421435,0.5877063178818156,0.014643541426530854,4
quarter,baseline,pooled_isotonic,0.5992469290227381,0.5874258263664223,0.012230992738618067,4
quarter,all_meteo,raw,0.6000294924506517,0.5728672455555374,0.01881725043284298,4
quarter,baseline,raw,0.5957099976044443,0.5727781735059239,0.01700523382423777,4
yearly,all_meteo,pooled_isotonic,0.5933477869152357,0.5822246302970199,0.01573051894588077,2
yearly,baseline,pooled_isotonic,0.5880668911053275,0.5755472933010866,0.017705385010213848,2
yearly,all_meteo,raw,0.5884565986609714,0.5786102916790502,0.013924780873121911,2
yearly,baseline,raw,0.5847303266917557,0.5725606941092922,0.017210459447217406,2
