group,fold,model,target,r2,mae,n_train,n_val
kpx_group_2,year_2023,rf_extra_trees_avg,scada_ws_p75,0.7909273640257152,1.4631601561836856,,8760
kpx_group_2,year_2023,rf_extra_trees_avg,scada_ws_p90,0.7919780886077925,1.516208785313689,,8760
kpx_group_2,year_2023,rf_extra_trees_avg,scada_ws_cubic,0.7893609649132498,1.3450045385055216,,8760
kpx_group_2,year_2023,rf_hist_gbr_avg,scada_ws_mean,0.7883046082605951,1.3210673547827172,,8760
kpx_group_2,year_2023,rf_hist_gbr_avg,scada_ws_p75,0.7930874509596333,1.4559082988367258,,8760
kpx_group_2,year_2023,rf_hist_gbr_avg,scada_ws_p90,0.7938409691061831,1.508077254522554,,8760
kpx_group_2,year_2023,rf_hist_gbr_avg,scada_ws_cubic,0.790727491335579,1.3403335104320038,,8760
kpx_group_2,year_2024,rf,scada_ws_mean,0.8208412759617889,1.2184305552246613,,8784
kpx_group_2,year_2024,rf,scada_ws_p75,0.8249259987530851,1.339887646177514,,8784
kpx_group_2,year_2024,rf,scada_ws_p90,0.8278324598828626,1.3768844578816253,,8784
kpx_group_2,year_2024,rf,scada_ws_cubic,0.8238246648054863,1.2330230523824992,,8784
kpx_group_2,year_2024,extra_trees,scada_ws_mean,0.822687349986676,1.2133175754791186,,8784
kpx_group_2,year_2024,extra_trees,scada_ws_p75,0.8259509367190424,1.3323200320843205,,8784
kpx_group_2,year_2024,extra_trees,scada_ws_p90,0.8278946942809635,1.3755625682582404,,8784
kpx_group_2,year_2024,extra_trees,scada_ws_cubic,0.8259418053626008,1.2246640428917903,,8784
kpx_group_2,year_2024,hist_gbr,scada_ws_mean,0.8220904138946656,1.2134248434735027,,8784
kpx_group_2,year_2024,hist_gbr,scada_ws_p75,0.8243935308260328,1.3401913386929454,,8784
kpx_group_2,year_2024,hist_gbr,scada_ws_p90,0.8275881614672982,1.3767613935401128,,8784
kpx_group_2,year_2024,hist_gbr,scada_ws_cubic,0.8262700753432193,1.2236612270496927,,8784
kpx_group_2,year_2024,rf_extra_trees_avg,scada_ws_mean,0.823269815846045,1.2100760230725447,,8784
kpx_group_2,year_2024,rf_extra_trees_avg,scada_ws_p75,0.826991971777906,1.3299823278971787,,8784
kpx_group_2,year_2024,rf_extra_trees_avg,scada_ws_p90,0.8292763755213657,1.3700529467752622,,8784
kpx_group_2,year_2024,rf_extra_trees_avg,scada_ws_cubic,0.8263662948274626,1.2231685757819848,,8784
kpx_group_2,year_2024,rf_hist_gbr_avg,scada_ws_mean,0.8252510004051845,1.202413149519965,,8784
kpx_group_2,year_2024,rf_hist_gbr_avg,scada_ws_p75,0.8283724805762964,1.3252513139911366,,8784
kpx_group_2,year_2024,rf_hist_gbr_avg,scada_ws_p90,0.8313325540094467,1.3612179515512506,,8784
kpx_group_2,year_2024,rf_hist_gbr_avg,scada_ws_cubic,0.828838506782054,1.2146383429897563,,8784
kpx_group_3,year_2024,rf,scada_ws_mean,0.8096674896636862,1.1786381777335084,,8778
kpx_group_3,year_2024,rf,scada_ws_p75,0.8096096983967564,1.289548628351742,,8778
kpx_group_3,year_2024,rf,scada_ws_p90,0.8162520483342333,1.3042866259744013,,8778
kpx_group_3,year_2024,rf,scada_ws_cubic,0.8134607755019894,1.1850163146565842,,8778
kpx_group_3,year_2024,extra_trees,scada_ws_mean,0.8092837309895513,1.181464804881978,,8778
kpx_group_3,year_2024,extra_trees,scada_ws_p75,0.8106441569219373,1.2889323457011834,,8778
kpx_group_3,year_2024,extra_trees,scada_ws_p90,0.8167330226897467,1.3032102871284796,,8778
kpx_group_3,year_2024,extra_trees,scada_ws_cubic,0.81332434391955,1.187321486031745,,8778
kpx_group_3,year_2024,hist_gbr,scada_ws_mean,0.8069201262028556,1.1925819187345803,,8778
kpx_group_3,year_2024,hist_gbr,scada_ws_p75,0.8078890951262132,1.2999907615520463,,8778
kpx_group_3,year_2024,hist_gbr,scada_ws_p90,0.8149485429100333,1.3125153613365874,,8778
kpx_group_3,year_2024,hist_gbr,scada_ws_cubic,0.8110846318194065,1.1968203118707106,,8778
kpx_group_3,year_2024,rf_extra_trees_avg,scada_ws_mean,0.8110582373623808,1.1753587627438025,,8778
kpx_group_3,year_2024,rf_extra_trees_avg,scada_ws_p75,0.8117787505896582,1.2839287747924937,,8778
kpx_group_3,year_2024,rf_extra_trees_avg,scada_ws_p90,0.8182854879839753,1.2979690745701584,,8778
kpx_group_3,year_2024,rf_extra_trees_avg,scada_ws_cubic,0.815048412363549,1.1810316256398714,,8778
kpx_group_3,year_2024,rf_hist_gbr_avg,scada_ws_mean,0.8124253730761243,1.172351061479527,,8778
kpx_group_3,year_2024,rf_hist_gbr_avg,scada_ws_p75,0.8126741635532938,1.2814464771390839,,8778
kpx_group_3,year_2024,rf_hist_gbr_avg,scada_ws_p90,0.8194645204492149,1.2949032878552829,,8778
kpx_group_3,year_2024,rf_hist_gbr_avg,scada_ws_cubic,0.8162321020403136,1.1783053661076561,,8778
