pred_year,train_years,train_policy,model,group,score,nmae,ficr,n,n_train,n_used
2024,"2022,2023",metric_valid,lgbm_tuned,kpx_group_2,0.654507440297011,0.11966817082738952,0.4286830514214116,8778,17422.0,10914.0
2024,"2022,2023",metric_valid,lgbm_regularized,kpx_group_2,0.6523862945639131,0.12020690369750643,0.4249794928253326,8778,17422.0,10914.0
2024,"2022,2023",metric_valid,model_mean,kpx_group_2,0.6548645915089026,0.1194690070656478,0.42919819008345306,8778,17422.0,10914.0
2024,"2022,2023",all,lgbm_tuned,kpx_group_3,0.559224104409162,0.14759102088624473,0.26603922970456884,8778,8759.0,8759.0
2024,"2022,2023",all,lgbm_regularized,kpx_group_3,0.5593554191311706,0.1478229091873225,0.2665337474496637,8778,8759.0,8759.0
2024,"2022,2023",all,model_mean,kpx_group_3,0.5616196433008522,0.14692880898478541,0.27016809558648996,8778,8759.0,8759.0
2024,"2022,2023",metric_valid,lgbm_tuned,kpx_group_3,0.5754398739514436,0.1417942771211094,0.2926740250239966,8778,8759.0,4847.0
2024,"2022,2023",metric_valid,lgbm_regularized,kpx_group_3,0.5740141872700699,0.1423892769470995,0.2904176514872393,8778,8759.0,4847.0
2024,"2022,2023",metric_valid,model_mean,kpx_group_3,0.5750690457728913,0.14131379923550677,0.29145189078128936,8778,8759.0,4847.0
2022,"2023,2024",all,lgbm_regularized,fold_mean,0.6055838946379009,0.13182418500003729,0.34299197427583894,17328,,
2022,"2023,2024",all,lgbm_tuned,fold_mean,0.605380617584861,0.13284552639558028,0.3436067615653022,17328,,
2022,"2023,2024",all,model_mean,fold_mean,0.605188262857095,0.13172199548544147,0.3420985211996317,17328,,
2022,"2023,2024",metric_valid,lgbm_regularized,fold_mean,0.6233094522915854,0.12651179594439382,0.3731307005275648,17328,,
2022,"2023,2024",metric_valid,lgbm_tuned,fold_mean,0.6247510255151343,0.12622645406886313,0.3757285050991318,17328,,
2022,"2023,2024",metric_valid,model_mean,fold_mean,0.6243132798679488,0.12584092264152544,0.374467482377423,17328,,
2023,"2022,2024",all,lgbm_regularized,fold_mean,0.5826735641374219,0.14621151498865123,0.31155864326349497,26274,,
2023,"2022,2024",all,lgbm_tuned,fold_mean,0.5807147585137269,0.1472156489986167,0.30864516602607056,26274,,
2023,"2022,2024",all,model_mean,fold_mean,0.5821902178445483,0.14619909045037385,0.3105795261394703,26274,,
2023,"2022,2024",metric_valid,lgbm_regularized,fold_mean,0.5921783611927379,0.13934832269646416,0.32370504508194003,26274,,
2023,"2022,2024",metric_valid,lgbm_tuned,fold_mean,0.592124687701774,0.14013328887375182,0.3243826642772998,26274,,
2023,"2022,2024",metric_valid,model_mean,fold_mean,0.5921740499181642,0.13923550529250475,0.32358360512883316,26274,,
2024,"2022,2023",all,lgbm_regularized,fold_mean,0.6060021745558138,0.1305515596869117,0.34255590879853953,26334,,
2024,"2022,2023",all,lgbm_tuned,fold_mean,0.6041223310898564,0.13086371028949198,0.3391083724692048,26334,,
2024,"2022,2023",all,model_mean,fold_mean,0.6067392742247566,0.1300771553026205,0.34355570375213373,26334,,
2024,"2022,2023",metric_valid,lgbm_regularized,fold_mean,0.6164952455249922,0.12693415578097286,0.3599246468309572,26334,,
2024,"2022,2023",metric_valid,lgbm_tuned,fold_mean,0.6175079934618436,0.12671686572589558,0.3617328526495827,26334,,
2024,"2022,2023",metric_valid,model_mean,fold_mean,0.6182136188847728,0.1262663899920724,0.362693627761618,26334,,
