pred_year,train_years,stage,score,nmae,ficr,n_rows
2024,"2022,2023",group__kpx_group_1,0.6169333240486659,0.12214394980197414,0.3560105978993059,8778
2024,"2022,2023",group__kpx_group_2,0.6373203150315877,0.14506655636432725,0.41970718642750254,8778
2024,"2022,2023",group__kpx_group_3,0.5992092328005931,0.14257071339734043,0.34098917899852654,8778
2024,"2022,2023",fold_mean,0.6178209572936155,0.13659373985454726,0.37223565444177825,8778
2023,"2022,2024",group__kpx_group_1,0.5975531656525308,0.13592502714048865,0.33103135844555026,8757
2023,"2022,2024",group__kpx_group_2,0.6445299694140202,0.14735893814469525,0.4364188769727356,8758
2023,"2022,2024",group__kpx_group_3,0.5739635959617335,0.16174604287822653,0.3096732348016936,8759
2023,"2022,2024",fold_mean,0.6053489103427615,0.14834333605447014,0.3590411567399932,8757
2022,"2023,2024",group__kpx_group_1,0.5994525708324624,0.13693634234516838,0.3358414840100931,8664
2022,"2023,2024",group__kpx_group_2,0.6297683135553962,0.1492371282985974,0.4087737554093898,8664
2022,"2023,2024",group__kpx_group_3,,,,0
2022,"2023,2024",fold_mean,0.6146104421939294,0.14308673532188287,0.37230761970974147,8664
all,leave_one_year_out,overall_mean,0.6125934366101021,0.14267460374363342,0.3678614769638376,26199
