group,nmae,ficr,score,stage,variant,manufacturer
kpx_group_1,0.12125556950585786,0.38420161666704916,0.6314730235805956,physics_only,filtered_cubic,vestas
kpx_group_2,0.12969988241977687,0.41254140457757804,0.6414207610789007,physics_only,filtered_cubic,vestas
kpx_group_1,0.12073838659459352,0.3729415202450757,0.6261015668252411,with_bias,filtered_cubic,vestas
kpx_group_2,0.12963853763458283,0.4136338501319537,0.6419976562486854,with_bias,filtered_cubic,vestas
kpx_group_3,0.13821592501388216,0.3428876199070944,0.6023358474466061,physics_only,filtered_cubic,unison
kpx_group_3,0.13787889564058575,0.34008768478828405,0.6011043945738491,with_bias,filtered_cubic,unison
kpx_group_1,0.12640217502956125,0.3634873905639237,0.6185426077671813,physics_only,filtered_p90,vestas
kpx_group_2,0.1297962727341343,0.4164013567876441,0.6433025420267549,physics_only,filtered_p90,vestas
kpx_group_1,0.12498027862784397,0.3578504293746927,0.6164350753734243,with_bias,filtered_p90,vestas
kpx_group_2,0.12945932308153274,0.41694721909148935,0.6437439480049783,with_bias,filtered_p90,vestas
kpx_group_3,0.13947491197368192,0.3341274779871889,0.5973262830067535,physics_only,filtered_p90,unison
kpx_group_3,0.13937684672984088,0.33701973356694276,0.5988214434185509,with_bias,filtered_p90,unison
kpx_group_1,0.12344747501317513,0.3753138202668178,0.6259331726268214,physics_only,filtered_mix_cubic_p90,vestas
kpx_group_2,0.1296026592853475,0.41659305066409796,0.6434951956893752,physics_only,filtered_mix_cubic_p90,vestas
kpx_group_1,0.12238521871295668,0.364841343364758,0.6212280623259007,with_bias,filtered_mix_cubic_p90,vestas
kpx_group_2,0.1293608172179246,0.4190871674607723,0.6448631751214239,with_bias,filtered_mix_cubic_p90,vestas
kpx_group_3,0.13787012234106225,0.34706185682985313,0.6045958672443954,physics_only,filtered_mix_cubic_p90,unison
kpx_group_3,0.13701386685949973,0.3465837681534538,0.604784950646977,with_bias,filtered_mix_cubic_p90,unison
