physical_manufacturer,teacher,stage1_score,stage1_nmae,stage1_ficr,stage2_score,stage2_nmae,stage2_ficr
unison,mix_30_unison_g3_vestas_g2,0.5913249843041826,0.14318176765295282,0.3258317362613179,0.5961114472274354,0.14307106760700325,0.33529396206187406
unison,vestas_g12_avg_teacher,0.596097304680537,0.14179979384708555,0.3339944032081595,0.5953101088054403,0.14134687688723985,0.3319670944981206
vestas,vestas_g12_avg_teacher,0.5945417659084347,0.1417213562042495,0.3308048880211188,0.5948619716929113,0.14225030659107496,0.3319742499768975
unison,vestas_g2_teacher,0.5960149803465216,0.14293850898148677,0.33496846967453,0.5932611068721982,0.14297074912874377,0.3294929628731401
unison,mix_50_unison_g3_vestas_g2,0.5901168921233158,0.14432001480340328,0.3245537990500349,0.5922750417018408,0.14418565240819434,0.3287357358118759
unison,vestas_g1_teacher,0.5940509762323329,0.14293859689823468,0.33104054936290045,0.5922166861804883,0.14126373385219027,0.32569710621316683
vestas,vestas_g2_teacher,0.5921535713435954,0.1437476645372896,0.3280548072244804,0.5916737976442945,0.1442941437344245,0.32764173902301363
unison,mix_70_unison_g3_vestas_g2,0.587730624675433,0.14553110989821447,0.32099235924908065,0.5913307760912264,0.145545151416679,0.3282067035991318
unison,unison_g3_teacher,0.5795725070802786,0.14766761732066402,0.3068126314812214,0.5879970876487596,0.14707550257109425,0.3230696778686134
