model,total_score,one_minus_nmae,ficr
random_forest,0.6616361635415533,0.8908576116812744,0.4324147154018321
xgb,0.6596250883206751,0.8899681154860272,0.4292820611553232
ensemble,0.6591750369927379,0.8914497237645741,0.4269003502209017
lgbm,0.63874903152526,0.8831988067500463,0.3942992563004737
