group,target,mae,r2
kpx_group_1,scada_ws_mean,1.1285323044173075,0.8054367715329604
kpx_group_1,scada_ws_std,0.39250458284836276,0.3410763032215709
kpx_group_1,scada_ws_p10,1.1536580395958622,0.7205723875187451
kpx_group_1,scada_ws_p50,1.1432898209117157,0.805890275127347
kpx_group_1,scada_ws_p90,1.2402556413642465,0.8210051469987901
kpx_group_2,scada_ws_mean,1.2402726624706506,0.8137971720967943
kpx_group_2,scada_ws_std,0.3013603616735905,0.6272560908125484
kpx_group_2,scada_ws_p10,1.132623220470879,0.7803913545861965
kpx_group_2,scada_ws_p50,1.274877257204911,0.8116389829434775
kpx_group_2,scada_ws_p90,1.418609918605967,0.8170054912126685
kpx_group_3,scada_ws_mean,1.193767251015012,0.8056473908116852
kpx_group_3,scada_ws_std,0.2731949747683369,0.5746071650045885
kpx_group_3,scada_ws_p10,1.1135853015713693,0.7782313940475217
kpx_group_3,scada_ws_p50,1.2444401136877308,0.797205028269642
kpx_group_3,scada_ws_p90,1.3225198479075315,0.811407614296172
