pred_year,train_years,stage,score,nmae,ficr,n_rows
2024,"2022,2023",group__kpx_group_1,0.6342015685454512,0.11960759482860109,0.3880107319195035,8778
2024,"2022,2023",group__kpx_group_2,0.6485317161109831,0.13439068508514126,0.43145411730710764,8778
2024,"2022,2023",group__kpx_group_3,0.6044975473632777,0.13865116841167532,0.3476462631382306,8778
2024,"2022,2023",fold_mean,0.6290769440065707,0.1308831494418059,0.3890370374549473,8778
2023,"2022,2024",group__kpx_group_1,0.6149823017787033,0.13442630973668143,0.36439091329408796,8757
2023,"2022,2024",group__kpx_group_2,0.6440299606552267,0.141817769899864,0.4298776912103173,8758
2023,"2022,2024",group__kpx_group_3,0.5782507333642977,0.1605705562969568,0.3170720230255522,8759
2023,"2022,2024",fold_mean,0.6124209985994092,0.14560487864450075,0.3704468758433192,8757
2022,"2023,2024",group__kpx_group_1,0.5998134991581574,0.14004569866468206,0.33967269698099684,8664
2022,"2023,2024",group__kpx_group_2,0.6256244410976121,0.14164481255901976,0.39289369475424385,8664
2022,"2023,2024",group__kpx_group_3,,,,0
2022,"2023,2024",fold_mean,0.6127189701278848,0.1408452556118509,0.36628319586762037,8664
all,leave_one_year_out,overall_mean,0.6180723042446216,0.13911109456605253,0.3752557030552956,26199
