fold,fold_type,candidate,group,score,nmae,ficr,n
year_2023,yearly,tree_raw,kpx_group_1,0.5444436609436327,0.15240903051605303,0.24129635240331848,8757
year_2023,yearly,tree_raw,kpx_group_2,0.6006777272749517,0.14108678327169918,0.34244223782160266,8758
year_2023,yearly,tree_calibrated,kpx_group_1,0.5475378160506652,0.15288723768195786,0.24796286978328838,8757
year_2023,yearly,tree_calibrated,kpx_group_2,0.6035567705515079,0.14301084203807107,0.3501243831410869,8758
year_2023,yearly,pinn_standard,kpx_group_1,0.5857670199683593,0.1437159149914393,0.31524995492815794,8757
year_2023,yearly,pinn_standard,kpx_group_2,0.6258917456149832,0.14500333406062033,0.3967868252905867,8758
year_2023,yearly,pinn_mixed_g3,kpx_group_1,0.5857670199683593,0.1437159149914393,0.31524995492815794,8757
year_2023,yearly,pinn_mixed_g3,kpx_group_2,0.6258917456149832,0.14500333406062033,0.3967868252905867,8758
year_2023,yearly,blend_tree_cal_pinn0.1,kpx_group_1,0.5516022088480088,0.15013194279708947,0.2533363604931071,8757
year_2023,yearly,blend_tree_cal_pinn0.1,kpx_group_2,0.606889988468083,0.1410143070996735,0.35479428403583924,8758
year_2023,yearly,blend_tree_cal_pinn0.2,kpx_group_1,0.5576572054563271,0.14771086155340102,0.2630252724660552,8757
year_2023,yearly,blend_tree_cal_pinn0.2,kpx_group_2,0.6097640848459607,0.13946277763898546,0.3589909473309068,8758
year_2023,yearly,blend_tree_cal_pinn0.3,kpx_group_1,0.5632738834012783,0.14565246704805415,0.27220023385061065,8757
year_2023,yearly,blend_tree_cal_pinn0.3,kpx_group_2,0.6139916969075141,0.1383568959666741,0.3663402897817024,8758
year_2023,yearly,blend_tree_cal_pinn0.5,kpx_group_1,0.5733092304234175,0.14279680780548648,0.2894152686523215,8757
year_2023,yearly,blend_tree_cal_pinn0.5,kpx_group_2,0.6212967047062896,0.1376870427115586,0.38028045212413786,8758
year_2024,yearly,tree_raw,kpx_group_1,0.6071851171429081,0.12574574355027904,0.3401159778360952,8778
year_2024,yearly,tree_raw,kpx_group_2,0.6278864158548694,0.12639334824007567,0.3821661799498144,8778
year_2024,yearly,tree_raw,kpx_group_3,0.5556283448248803,0.15003039395717943,0.26128708360694014,8778
year_2024,yearly,tree_calibrated,kpx_group_1,0.6104558030137377,0.12617606386797123,0.34708766989544665,8778
year_2024,yearly,tree_calibrated,kpx_group_2,0.6371083126982333,0.12815078735072896,0.40236741274719545,8778
year_2024,yearly,tree_calibrated,kpx_group_3,0.5541953510167339,0.1512529752670041,0.2596436773004719,8778
year_2024,yearly,pinn_standard,kpx_group_1,0.6332711032966616,0.12190599853959808,0.3884482051329212,8778
year_2024,yearly,pinn_standard,kpx_group_2,0.6368623244885214,0.13497311678734475,0.4086977657643876,8778
year_2024,yearly,pinn_standard,kpx_group_3,0.5874526810410238,0.1473437013856848,0.32224906346773236,8778
year_2024,yearly,pinn_mixed_g3,kpx_group_1,0.6332711032966616,0.12190599853959808,0.3884482051329212,8778
year_2024,yearly,pinn_mixed_g3,kpx_group_2,0.6368623244885214,0.13497311678734475,0.4086977657643876,8778
