candidate,pinn_weight,score,nmae,ficr
blend:pinn_unison+tree_group2_proxy_same_time,0.6000000000000001,0.5993499254883581,0.13863977486598383,0.33733962584269994
blend:pinn_unison+tree_group2_transfer_group3_features,0.65,0.5993297301459064,0.13884963940633915,0.3375090996981519
blend:pinn_unison+tree_group2_transfer_group3_features,0.5,0.5993087913215082,0.1378102753125105,0.33642785795552693
blend:pinn_unison+tree_group2_transfer_group3_features,0.55,0.5992349931201935,0.13799543760363622,0.33646542384402317
blend:pinn_unison+tree_group2_transfer_group3_features,0.6000000000000001,0.5990850317316724,0.13834132596721554,0.3365113894305602
blend:pinn_unison+tree_group2_proxy_same_time,0.65,0.5989114123300654,0.13909447765982252,0.33691730231995337
blend:pinn_unison+tree_group2_proxy_same_time,0.75,0.5982878049000618,0.14049008907810584,0.33706569887822946
blend:pinn_unison+tree_group2_transfer_group3_features,0.75,0.5982169479972814,0.1403600535798505,0.3367939495744134
blend:pinn_unison+tree_group2_proxy_same_time,0.7000000000000001,0.5981867265002127,0.13969173566784546,0.33606518866827073
blend:pinn_unison+tree_group2_proxy_same_time,0.55,0.5981261865788519,0.13836353784605993,0.33461591100376364
blend:pinn_unison+tree_group2_transfer_group3_features,0.7000000000000001,0.5979889657222126,0.13950969277532577,0.3354876242197511
blend:pinn_unison+tree_group2_transfer_group3_features,0.8,0.5976976514348039,0.14136916963968119,0.33676447250928904
blend:pinn_unison+tree_group2_proxy_same_time,0.5,0.5976829698139552,0.13824440572858912,0.33361034535649936
blend:pinn_unison+tree_group2_transfer_group3_features,0.45,0.5973559022311585,0.1377682225275056,0.33248002698982276
blend:pinn_unison+tree_group2_proxy_same_time,0.8,0.5969688429468964,0.14145349610385458,0.33539118199764745
blend:pinn_unison+pinn_vestas_group2_proxy_same_time,0.6000000000000001,0.5964765694735523,0.1487557859597755,0.34170892490688015
blend:pinn_unison+pinn_vestas_group2_proxy_same_time,0.7000000000000001,0.5959762137073058,0.14767995658640556,0.3396323840010171
blend:pinn_unison+pinn_vestas_group2_proxy_same_time,0.5,0.5959704838822679,0.15026782323991808,0.342208791004454
blend:pinn_unison+pinn_vestas_group2_proxy_same_time,0.55,0.5959315130202886,0.14945709674239258,0.34132012278296975
blend:pinn_unison+tree_group2_transfer_group3_features,0.4,0.595766301838427,0.13790226039351253,0.32943486407036654
blend:pinn_unison+pinn_vestas_group2_proxy_same_time,0.65,0.595483957500077,0.14816678049941337,0.3391346954995674
blend:pinn_unison+tree_group2_transfer_group3_features,0.8500000000000001,0.5953106673178052,0.1425244548394146,0.33314578947502504
blend:pinn_unison+pinn_vestas_group2_proxy_same_time,0.75,0.5952782722454961,0.14726957015897438,0.3378261146499666
blend:pinn_unison+tree_group2_proxy_same_time,0.8500000000000001,0.5952143463302392,0.14257616673339948,0.3330048593938778
blend:pinn_unison+tree_group2_proxy_same_time,0.45,0.5951511281949123,0.1382607389626897,0.3285629953525144
blend:pinn_unison+pinn_vestas_group2_proxy_same_time,0.8,0.5950273592838919,0.1469926251912609,0.3370473437590447
blend:pinn_unison+pinn_vestas_group2_proxy_same_time,0.45,0.5948406208525738,0.15117829164200045,0.340859533347148
blend:pinn_unison+pinn_vestas_group2_proxy_same_time,0.4,0.5935994504963596,0.15221042141523453,0.3394093224079538
blend:pinn_unison+tree_group2_proxy_same_time,0.4,0.5934376451419702,0.13845875743828517,0.32533404772222546
